GeneID,Count,GeneName
ENSG00000000003,871,TSPAN6
ENSG00000000005,2,TNMD
ENSG00000000419,1515,DPM1
ENSG00000000457,370,SCYL3
ENSG00000000460,120,C1orf112
ENSG00000000938,0,FGR
ENSG00000000971,2,CFH
ENSG00000001036,599,FUCA2
ENSG00000001084,919,GCLC
ENSG00000001167,1697,NFYA
ENSG00000001460,100,STPG1
ENSG00000001461,686,NIPAL3
ENSG00000001497,2445,LAS1L
ENSG00000001561,873,ENPP4
ENSG00000001617,607,SEMA3F
ENSG00000001626,96,CFTR
ENSG00000001629,4368,ANKIB1
ENSG00000001630,363,CYP51A1
ENSG00000001631,377,KRIT1
ENSG00000002016,530,RAD52
ENSG00000002079,19,MYH16
ENSG00000002330,301,BAD
ENSG00000002549,1776,LAP3
ENSG00000002586,524,CD99
ENSG00000002587,46,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,0,WNT16
ENSG00000002746,2469,HECW1
ENSG00000002822,1,MAD1L1
ENSG00000002834,3829,LASP1
ENSG00000002919,819,SNX11
ENSG00000002933,5,TMEM176A
ENSG00000003056,2432,M6PR
ENSG00000003096,763,KLHL13
ENSG00000003137,186,CYP26B1
ENSG00000003147,882,ICA1
ENSG00000003249,2495,DBNDD1
ENSG00000003393,2356,ALS2
ENSG00000003400,4,CASP10
ENSG00000003402,1120,CFLAR
ENSG00000003436,23,TFPI
ENSG00000003509,902,NDUFAF7
ENSG00000003756,5360,RBM5
ENSG00000003987,1711,MTMR7
ENSG00000003989,648,SLC7A2
ENSG00000004059,1938,ARF5
ENSG00000004139,1492,SARM1
ENSG00000004142,2522,POLDIP2
ENSG00000004399,292,PLXND1
ENSG00000004455,3702,AK2
ENSG00000004468,2,CD38
ENSG00000004478,4993,FKBP4
ENSG00000004487,12794,KDM1A
ENSG00000004534,4340,RBM6
ENSG00000004660,576,CAMKK1
ENSG00000004700,1017,RECQL
ENSG00000004766,1577,VPS50
ENSG00000004776,11,HSPB6
ENSG00000004777,2753,ARHGAP33
ENSG00000004779,1424,NDUFAB1
ENSG00000004799,20,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,50,ZMYND10
ENSG00000004846,2,ABCB5
ENSG00000004848,6,ARX
ENSG00000004864,3894,SLC25A13
ENSG00000004866,1755,ST7
ENSG00000004897,4035,CDC27
ENSG00000004939,1,SLC4A1
ENSG00000004948,8,CALCR
ENSG00000004961,847,HCCS
ENSG00000004975,772,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,2595,UPF1
ENSG00000005020,273,SKAP2
ENSG00000005022,4687,SLC25A5
ENSG00000005059,130,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,758,POLR2J
ENSG00000005100,2278,DHX33
ENSG00000005102,4,MEOX1
ENSG00000005108,5870,THSD7A
ENSG00000005156,1267,LIG3
ENSG00000005175,1880,RPAP3
ENSG00000005187,38,ACSM3
ENSG00000005189,111,REXO5
