GeneID,Count,GeneName
ENSG00000000003,735,TSPAN6
ENSG00000000005,188,TNMD
ENSG00000000419,1110,DPM1
ENSG00000000457,382,SCYL3
ENSG00000000460,124,C1orf112
ENSG00000000938,6,FGR
ENSG00000000971,16,CFH
ENSG00000001036,531,FUCA2
ENSG00000001084,521,GCLC
ENSG00000001167,1214,NFYA
ENSG00000001460,186,STPG1
ENSG00000001461,1116,NIPAL3
ENSG00000001497,2166,LAS1L
ENSG00000001561,581,ENPP4
ENSG00000001617,576,SEMA3F
ENSG00000001626,44,CFTR
ENSG00000001629,3409,ANKIB1
ENSG00000001630,500,CYP51A1
ENSG00000001631,234,KRIT1
ENSG00000002016,543,RAD52
ENSG00000002079,20,MYH16
ENSG00000002330,703,BAD
ENSG00000002549,1361,LAP3
ENSG00000002586,1709,CD99
ENSG00000002587,162,HS3ST1
ENSG00000002726,9,AOC1
ENSG00000002745,0,WNT16
ENSG00000002746,2373,HECW1
ENSG00000002822,28,MAD1L1
ENSG00000002834,6959,LASP1
ENSG00000002919,1098,SNX11
ENSG00000002933,5,TMEM176A
ENSG00000003056,1796,M6PR
ENSG00000003096,2451,KLHL13
ENSG00000003137,160,CYP26B1
ENSG00000003147,1204,ICA1
ENSG00000003249,2794,DBNDD1
ENSG00000003393,2795,ALS2
ENSG00000003400,27,CASP10
ENSG00000003402,1130,CFLAR
ENSG00000003436,166,TFPI
ENSG00000003509,975,NDUFAF7
ENSG00000003756,5211,RBM5
ENSG00000003987,1325,MTMR7
ENSG00000003989,28,SLC7A2
ENSG00000004059,3544,ARF5
ENSG00000004139,1469,SARM1
ENSG00000004142,2682,POLDIP2
ENSG00000004399,166,PLXND1
ENSG00000004455,2204,AK2
ENSG00000004468,8,CD38
ENSG00000004478,6203,FKBP4
ENSG00000004487,8906,KDM1A
ENSG00000004534,4716,RBM6
ENSG00000004660,813,CAMKK1
ENSG00000004700,444,RECQL
ENSG00000004766,1418,VPS50
ENSG00000004776,6,HSPB6
ENSG00000004777,3266,ARHGAP33
ENSG00000004779,1708,NDUFAB1
ENSG00000004799,4,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,48,ZMYND10
ENSG00000004846,10,ABCB5
ENSG00000004848,80,ARX
ENSG00000004864,1982,SLC25A13
ENSG00000004866,1463,ST7
ENSG00000004897,2448,CDC27
ENSG00000004939,11,SLC4A1
ENSG00000004948,8,CALCR
ENSG00000004961,617,HCCS
ENSG00000004975,1105,DVL2
ENSG00000005001,4,PRSS22
ENSG00000005007,2726,UPF1
ENSG00000005020,802,SKAP2
ENSG00000005022,3717,SLC25A5
ENSG00000005059,258,MCUB
ENSG00000005073,10,HOXA11
ENSG00000005075,740,POLR2J
ENSG00000005100,974,DHX33
ENSG00000005102,14,MEOX1
ENSG00000005108,3364,THSD7A
ENSG00000005156,1047,LIG3
ENSG00000005175,1548,RPAP3
ENSG00000005187,27,ACSM3
ENSG00000005189,200,REXO5
ENSG00000005194,2834,CIAPIN1
ENSG00000005206,1761,SPPL2B
ENSG00000005238,1646,FAM214B
ENSG00000005243,24,COPZ2
