GeneID,Count,GeneName
ENSG00000000003,909,TSPAN6
ENSG00000000005,27,TNMD
ENSG00000000419,943,DPM1
ENSG00000000457,465,SCYL3
ENSG00000000460,217,C1orf112
ENSG00000000938,8,FGR
ENSG00000000971,21,CFH
ENSG00000001036,354,FUCA2
ENSG00000001084,511,GCLC
ENSG00000001167,1580,NFYA
ENSG00000001460,119,STPG1
ENSG00000001461,682,NIPAL3
ENSG00000001497,2036,LAS1L
ENSG00000001561,462,ENPP4
ENSG00000001617,547,SEMA3F
ENSG00000001626,40,CFTR
ENSG00000001629,2739,ANKIB1
ENSG00000001630,468,CYP51A1
ENSG00000001631,190,KRIT1
ENSG00000002016,477,RAD52
ENSG00000002079,28,MYH16
ENSG00000002330,601,BAD
ENSG00000002549,801,LAP3
ENSG00000002586,2039,CD99
ENSG00000002587,125,HS3ST1
ENSG00000002726,24,AOC1
ENSG00000002745,0,WNT16
ENSG00000002746,2149,HECW1
ENSG00000002822,14,MAD1L1
ENSG00000002834,5660,LASP1
ENSG00000002919,863,SNX11
ENSG00000002933,4,TMEM176A
ENSG00000003056,1740,M6PR
ENSG00000003096,1540,KLHL13
ENSG00000003137,143,CYP26B1
ENSG00000003147,655,ICA1
ENSG00000003249,1961,DBNDD1
ENSG00000003393,2445,ALS2
ENSG00000003400,64,CASP10
ENSG00000003402,1005,CFLAR
ENSG00000003436,34,TFPI
ENSG00000003509,713,NDUFAF7
ENSG00000003756,5015,RBM5
ENSG00000003987,828,MTMR7
ENSG00000003989,72,SLC7A2
ENSG00000004059,2729,ARF5
ENSG00000004139,1282,SARM1
ENSG00000004142,2123,POLDIP2
ENSG00000004399,173,PLXND1
ENSG00000004455,2494,AK2
ENSG00000004468,13,CD38
ENSG00000004478,4751,FKBP4
ENSG00000004487,8971,KDM1A
ENSG00000004534,4325,RBM6
ENSG00000004660,599,CAMKK1
ENSG00000004700,412,RECQL
ENSG00000004766,1136,VPS50
ENSG00000004776,4,HSPB6
ENSG00000004777,2693,ARHGAP33
ENSG00000004779,1269,NDUFAB1
ENSG00000004799,16,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,38,ZMYND10
ENSG00000004846,6,ABCB5
ENSG00000004848,486,ARX
ENSG00000004864,1800,SLC25A13
ENSG00000004866,989,ST7
ENSG00000004897,2070,CDC27
ENSG00000004939,18,SLC4A1
ENSG00000004948,12,CALCR
ENSG00000004961,417,HCCS
ENSG00000004975,1533,DVL2
ENSG00000005001,1,PRSS22
ENSG00000005007,2527,UPF1
ENSG00000005020,526,SKAP2
ENSG00000005022,2965,SLC25A5
ENSG00000005059,196,MCUB
ENSG00000005073,19,HOXA11
ENSG00000005075,755,POLR2J
ENSG00000005100,1016,DHX33
ENSG00000005102,20,MEOX1
ENSG00000005108,3925,THSD7A
ENSG00000005156,1323,LIG3
ENSG00000005175,1266,RPAP3
ENSG00000005187,17,ACSM3
ENSG00000005189,217,REXO5
ENSG00000005194,2345,CIAPIN1
ENSG00000005206,1532,SPPL2B
ENSG00000005238,1234,FAM214B
ENSG00000005243,17,COPZ2
ENSG00000005249,4985,PRKAR2B
ENSG00000005302,1168,MSL3
ENSG00000005339,3939,CREBBP
ENSG00000005379,3134,TSPOAP1
ENSG00000005381,0,MPO
ENSG00000005421,19,PON1
ENSG00000005436,313,GCFC2
ENSG00000005448,896,WDR54
ENSG00000005469,426,CROT
ENSG00000005471,37,ABCB4
ENSG00000005483,3907,KMT2E
ENSG00000005486,3326,RHBDD2
ENSG00000005513,347,SOX8
ENSG00000005700,1896,IBTK
ENSG00000005801,2203,ZNF195
ENSG00000005810,6430,MYCBP2
ENSG00000005812,579,FBXL3
ENSG00000005844,93,ITGAL
ENSG00000005882,307,PDK2
ENSG00000005884,2659,ITGA3
ENSG00000005889,718,ZFX
ENSG00000005893,2112,LAMP2
ENSG00000005961,108,ITGA2B
ENSG00000005981,9,ASB4
ENSG00000006007,1990,GDE1
ENSG00000006015,1100,REX1BD
ENSG00000006016,29,CRLF1
ENSG00000006025,529,OSBPL7
ENSG00000006042,1476,TMEM98
ENSG00000006047,146,YBX2
ENSG00000006059,8,KRT33A
ENSG00000006062,331,MAP3K14
ENSG00000006071,993,ABCC8
ENSG00000006116,185,CACNG3
ENSG00000006118,9460,TMEM132A
ENSG00000006125,17879,AP2B1
ENSG00000006128,2188,TAC1
ENSG00000006194,968,ZNF263
ENSG00000006210,143,CX3CL1
ENSG00000006282,536,SPATA20
ENSG00000006283,115,CACNA1G
ENSG00000006327,156,TNFRSF12A
ENSG00000006377,220,DLX6
ENSG00000006432,2674,MAP3K9
ENSG00000006451,2625,RALA
ENSG00000006453,60,BAIAP2L1
ENSG00000006459,908,KDM7A
ENSG00000006468,1337,ETV1
ENSG00000006530,1222,AGK
ENSG00000006534,101,ALDH3B1
ENSG00000006555,18,TTC22
ENSG00000006576,1001,PHTF2
ENSG00000006606,3,CCL26
ENSG00000006607,973,FARP2
ENSG00000006611,6,USH1C
ENSG00000006625,278,GGCT
ENSG00000006634,666,DBF4
ENSG00000006638,6,TBXA2R
ENSG00000006652,425,IFRD1
ENSG00000006659,5,LGALS14
ENSG00000006695,580,COX10
ENSG00000006704,1872,GTF2IRD1
ENSG00000006712,2427,PAF1
ENSG00000006715,3420,VPS41
ENSG00000006740,789,ARHGAP44
ENSG00000006744,1986,ELAC2
ENSG00000006747,23,SCIN
ENSG00000006756,434,ARSD
ENSG00000006757,265,PNPLA4
ENSG00000006788,8,MYH13
ENSG00000006831,1994,ADIPOR2
ENSG00000006837,93,CDKL3
ENSG00000007001,10,UPP2
ENSG00000007038,1,PRSS21
ENSG00000007047,2863,MARK4
ENSG00000007062,619,PROM1
ENSG00000007080,3112,CCDC124
ENSG00000007129,22,CEACAM21
ENSG00000007168,11965,PAFAH1B1
ENSG00000007171,147,NOS2
ENSG00000007174,195,DNAH9
ENSG00000007202,3132,KIAA0100
ENSG00000007216,2,SLC13A2
ENSG00000007237,739,GAS7
ENSG00000007255,247,TRAPPC6A
ENSG00000007264,165,MATK
ENSG00000007306,12,CEACAM7
ENSG00000007312,0,CD79B
ENSG00000007314,35,SCN4A
ENSG00000007341,453,ST7L
ENSG00000007350,47,TKTL1
ENSG00000007372,1387,PAX6
ENSG00000007376,664,RPUSD1
ENSG00000007384,190,RHBDF1
ENSG00000007392,4031,LUC7L
ENSG00000007402,1756,CACNA2D2
ENSG00000007516,1661,BAIAP3
ENSG00000007520,782,TSR3
ENSG00000007541,915,PIGQ
ENSG00000007545,750,CRAMP1
ENSG00000007866,325,TEAD3
ENSG00000007908,13,SELE
ENSG00000007923,1638,DNAJC11
ENSG00000007933,6,FMO3
ENSG00000007944,270,MYLIP
ENSG00000007952,5,NOX1
ENSG00000007968,222,E2F2
ENSG00000008018,2865,PSMB1
ENSG00000008056,1370,SYN1
ENSG00000008083,2767,JARID2
ENSG00000008086,1545,CDKL5
ENSG00000008118,240,CAMK1G
ENSG00000008128,37,CDK11A
ENSG00000008130,1580,NADK
ENSG00000008196,94,TFAP2B
ENSG00000008197,14,TFAP2D
ENSG00000008226,36,DLEC1
ENSG00000008256,1622,CYTH3
ENSG00000008277,2494,ADAM22
ENSG00000008282,309,SYPL1
ENSG00000008283,1622,CYB561
ENSG00000008294,10343,SPAG9
ENSG00000008300,4964,CELSR3
ENSG00000008311,2239,AASS
ENSG00000008323,0,PLEKHG6
ENSG00000008324,566,SS18L2
ENSG00000008382,449,MPND
ENSG00000008394,322,MGST1
ENSG00000008405,726,CRY1
ENSG00000008438,12,PGLYRP1
ENSG00000008441,36,NFIX
ENSG00000008513,664,ST3GAL1
ENSG00000008516,34,MMP25
ENSG00000008517,9,IL32
ENSG00000008710,4924,PKD1
ENSG00000008735,6098,MAPK8IP2
ENSG00000008838,3472,MED24
ENSG00000008853,2096,RHOBTB2
ENSG00000008869,2520,HEATR5B
ENSG00000008952,4812,SEC62
ENSG00000008988,10231,RPS20
ENSG00000009307,23846,CSDE1
ENSG00000009335,2382,UBE3C
ENSG00000009413,2251,REV3L
ENSG00000009694,1454,TENM1
ENSG00000009709,11,PAX7
ENSG00000009724,185,MASP2
ENSG00000009765,16,IYD
ENSG00000009780,257,FAM76A
ENSG00000009790,21,TRAF3IP3
ENSG00000009830,1390,POMT2
ENSG00000009844,2466,VTA1
ENSG00000009950,95,MLXIPL
ENSG00000009954,5516,BAZ1B
ENSG00000010017,1743,RANBP9
ENSG00000010030,10,ETV7
ENSG00000010072,581,SPRTN
ENSG00000010165,1057,METTL13
ENSG00000010219,260,DYRK4
ENSG00000010244,4201,ZNF207
ENSG00000010256,4787,UQCRC1
ENSG00000010270,2917,STARD3NL
ENSG00000010278,68,CD9
ENSG00000010282,6,HHATL
ENSG00000010292,2756,NCAPD2
ENSG00000010295,807,IFFO1
ENSG00000010310,322,GIPR
ENSG00000010318,111,PHF7
ENSG00000010319,8,SEMA3G
ENSG00000010322,10282,NISCH
ENSG00000010327,2,STAB1
ENSG00000010361,368,FUZ
ENSG00000010379,11,SLC6A13
ENSG00000010404,738,IDS
ENSG00000010438,7,PRSS3
ENSG00000010539,464,ZNF200
ENSG00000010610,33,CD4
ENSG00000010626,128,LRRC23
ENSG00000010671,15,BTK
ENSG00000010704,24,HFE
ENSG00000010803,1378,SCMH1
ENSG00000010810,6442,FYN
ENSG00000010818,1295,HIVEP2
ENSG00000010932,3,FMO1
ENSG00000011007,1963,ELOA
ENSG00000011009,2917,LYPLA2
ENSG00000011021,3663,CLCN6
ENSG00000011028,1481,MRC2
ENSG00000011052,0,NME1-NME2
ENSG00000011083,44,SLC6A7
ENSG00000011105,1041,TSPAN9
ENSG00000011114,1169,BTBD7
ENSG00000011132,327,APBA3
ENSG00000011143,668,MKS1
ENSG00000011198,574,ABHD5
ENSG00000011201,641,ANOS1
ENSG00000011243,2292,AKAP8L
ENSG00000011258,1513,MBTD1
ENSG00000011260,1152,UTP18
ENSG00000011275,1848,RNF216
ENSG00000011295,2225,TTC19
ENSG00000011304,3248,PTBP1
ENSG00000011332,2567,DPF1
ENSG00000011347,4219,SYT7
ENSG00000011376,1436,LARS2
ENSG00000011405,1635,PIK3C2A
ENSG00000011422,32,PLAUR
ENSG00000011426,528,ANLN
ENSG00000011451,3908,WIZ
ENSG00000011454,3551,RABGAP1
ENSG00000011465,18,DCN
ENSG00000011478,258,QPCTL
ENSG00000011485,3483,PPP5C
ENSG00000011523,1843,CEP68
ENSG00000011566,1551,MAP4K3
ENSG00000011590,17,ZBTB32
ENSG00000011600,0,TYROBP
ENSG00000011638,509,LDAF1
ENSG00000011677,3473,GABRA3
ENSG00000012048,583,BRCA1
ENSG00000012061,1255,ERCC1
ENSG00000012124,20,CD22
ENSG00000012171,205,SEMA3B
ENSG00000012174,979,MBTPS2
ENSG00000012211,11,PRICKLE3
ENSG00000012223,12,LTF
ENSG00000012232,4060,EXTL3
ENSG00000012504,0,NR1H4
ENSG00000012660,3276,ELOVL5
ENSG00000012779,6,ALOX5
ENSG00000012817,1453,KDM5D
ENSG00000012822,2009,CALCOCO1
ENSG00000012963,1025,UBR7
ENSG00000012983,1879,MAP4K5
ENSG00000013016,883,EHD3
ENSG00000013275,3205,PSMC4
ENSG00000013288,1284,MAN2B2
ENSG00000013293,897,SLC7A14
ENSG00000013297,26,CLDN11
ENSG00000013306,1559,SLC25A39
ENSG00000013364,182,MVP
ENSG00000013374,1704,NUB1
ENSG00000013375,1017,PGM3
ENSG00000013392,641,RWDD2A
ENSG00000013441,3231,CLK1
ENSG00000013503,676,POLR3B
ENSG00000013523,666,ANGEL1
ENSG00000013561,1560,RNF14
ENSG00000013563,100,DNASE1L1
ENSG00000013573,726,DDX11
ENSG00000013583,231,HEBP1
ENSG00000013588,52,GPRC5A
ENSG00000013619,396,MAMLD1
ENSG00000013725,4,CD6
ENSG00000013810,1671,TACC3
ENSG00000014123,751,UFL1
ENSG00000014138,153,POLA2
ENSG00000014164,836,ZC3H3
ENSG00000014216,3969,CAPN1
ENSG00000014257,23,ACP3
ENSG00000014641,4341,MDH1
ENSG00000014824,3374,SLC30A9
ENSG00000014914,72,MTMR11
ENSG00000014919,849,COX15
ENSG00000015133,1678,CCDC88C
ENSG00000015153,796,YAF2
ENSG00000015171,3407,ZMYND11
ENSG00000015285,47,WAS
ENSG00000015413,14,DPEP1
ENSG00000015475,684,BID
ENSG00000015479,226,MATR3
ENSG00000015520,14,NPC1L1
ENSG00000015532,568,XYLT2
ENSG00000015568,81,RGPD5
ENSG00000015592,7961,STMN4
ENSG00000015676,4455,NUDCD3
ENSG00000016082,4291,ISL1
ENSG00000016391,68,CHDH
ENSG00000016402,21,IL20RA
ENSG00000016490,0,CLCA1
ENSG00000016602,0,CLCA4
ENSG00000016864,1344,GLT8D1
