GeneID,Count,GeneName
ENSG00000000003,918,TSPAN6
ENSG00000000005,32,TNMD
ENSG00000000419,1045,DPM1
ENSG00000000457,391,SCYL3
ENSG00000000460,198,C1orf112
ENSG00000000938,0,FGR
ENSG00000000971,43,CFH
ENSG00000001036,351,FUCA2
ENSG00000001084,613,GCLC
ENSG00000001167,1425,NFYA
ENSG00000001460,126,STPG1
ENSG00000001461,811,NIPAL3
ENSG00000001497,1894,LAS1L
ENSG00000001561,490,ENPP4
ENSG00000001617,472,SEMA3F
ENSG00000001626,62,CFTR
ENSG00000001629,2861,ANKIB1
ENSG00000001630,388,CYP51A1
ENSG00000001631,270,KRIT1
ENSG00000002016,561,RAD52
ENSG00000002079,23,MYH16
ENSG00000002330,605,BAD
ENSG00000002549,1015,LAP3
ENSG00000002586,2042,CD99
ENSG00000002587,119,HS3ST1
ENSG00000002726,2,AOC1
ENSG00000002745,0,WNT16
ENSG00000002746,2004,HECW1
ENSG00000002822,30,MAD1L1
ENSG00000002834,6144,LASP1
ENSG00000002919,839,SNX11
ENSG00000002933,6,TMEM176A
ENSG00000003056,1777,M6PR
ENSG00000003096,1587,KLHL13
ENSG00000003137,138,CYP26B1
ENSG00000003147,695,ICA1
ENSG00000003249,1935,DBNDD1
ENSG00000003393,2617,ALS2
ENSG00000003400,33,CASP10
ENSG00000003402,979,CFLAR
ENSG00000003436,31,TFPI
ENSG00000003509,867,NDUFAF7
ENSG00000003756,5315,RBM5
ENSG00000003987,1091,MTMR7
ENSG00000003989,94,SLC7A2
ENSG00000004059,2939,ARF5
ENSG00000004139,1256,SARM1
ENSG00000004142,2398,POLDIP2
ENSG00000004399,120,PLXND1
ENSG00000004455,2500,AK2
ENSG00000004468,45,CD38
ENSG00000004478,5075,FKBP4
ENSG00000004487,9086,KDM1A
ENSG00000004534,4684,RBM6
ENSG00000004660,518,CAMKK1
ENSG00000004700,398,RECQL
ENSG00000004766,1235,VPS50
ENSG00000004776,8,HSPB6
ENSG00000004777,2929,ARHGAP33
ENSG00000004779,1351,NDUFAB1
ENSG00000004799,11,PDK4
ENSG00000004809,3,SLC22A16
ENSG00000004838,38,ZMYND10
ENSG00000004846,19,ABCB5
ENSG00000004848,428,ARX
ENSG00000004864,1665,SLC25A13
ENSG00000004866,982,ST7
ENSG00000004897,2032,CDC27
ENSG00000004939,13,SLC4A1
ENSG00000004948,3,CALCR
ENSG00000004961,462,HCCS
ENSG00000004975,1266,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,3113,UPF1
ENSG00000005020,397,SKAP2
ENSG00000005022,3140,SLC25A5
ENSG00000005059,245,MCUB
ENSG00000005073,2,HOXA11
ENSG00000005075,731,POLR2J
ENSG00000005100,896,DHX33
ENSG00000005102,6,MEOX1
ENSG00000005108,3664,THSD7A
ENSG00000005156,1368,LIG3
ENSG00000005175,1286,RPAP3
ENSG00000005187,18,ACSM3
ENSG00000005189,258,REXO5
ENSG00000005194,2415,CIAPIN1
ENSG00000005206,1995,SPPL2B
ENSG00000005238,1424,FAM214B
ENSG00000005243,10,COPZ2
ENSG00000005249,4870,PRKAR2B
ENSG00000005302,1171,MSL3
ENSG00000005339,4093,CREBBP
ENSG00000005379,3221,TSPOAP1
ENSG00000005381,0,MPO
ENSG00000005421,14,PON1
ENSG00000005436,320,GCFC2
ENSG00000005448,911,WDR54
ENSG00000005469,321,CROT
ENSG00000005471,45,ABCB4
ENSG00000005483,3792,KMT2E
ENSG00000005486,3890,RHBDD2
ENSG00000005513,470,SOX8
ENSG00000005700,1785,IBTK
ENSG00000005801,2186,ZNF195
ENSG00000005810,6174,MYCBP2
ENSG00000005812,554,FBXL3
ENSG00000005844,54,ITGAL
ENSG00000005882,287,PDK2
ENSG00000005884,2918,ITGA3
ENSG00000005889,812,ZFX
ENSG00000005893,2197,LAMP2
ENSG00000005961,123,ITGA2B
ENSG00000005981,4,ASB4
ENSG00000006007,2158,GDE1
ENSG00000006015,1092,REX1BD
ENSG00000006016,34,CRLF1
ENSG00000006025,510,OSBPL7
ENSG00000006042,1416,TMEM98
ENSG00000006047,130,YBX2
ENSG00000006059,15,KRT33A
ENSG00000006062,269,MAP3K14
ENSG00000006071,1015,ABCC8
ENSG00000006116,158,CACNG3
ENSG00000006118,9538,TMEM132A
ENSG00000006125,19597,AP2B1
ENSG00000006128,2367,TAC1
ENSG00000006194,1113,ZNF263
ENSG00000006210,138,CX3CL1
ENSG00000006282,681,SPATA20
ENSG00000006283,117,CACNA1G
ENSG00000006327,95,TNFRSF12A
ENSG00000006377,155,DLX6
ENSG00000006432,2707,MAP3K9
ENSG00000006451,2773,RALA
ENSG00000006453,50,BAIAP2L1
ENSG00000006459,954,KDM7A
ENSG00000006468,1339,ETV1
ENSG00000006530,1242,AGK
ENSG00000006534,91,ALDH3B1
ENSG00000006555,5,TTC22
ENSG00000006576,925,PHTF2
ENSG00000006606,1,CCL26
ENSG00000006607,982,FARP2
ENSG00000006611,10,USH1C
ENSG00000006625,272,GGCT
ENSG00000006634,596,DBF4
ENSG00000006638,9,TBXA2R
ENSG00000006652,329,IFRD1
ENSG00000006659,0,LGALS14
ENSG00000006695,767,COX10
ENSG00000006704,1501,GTF2IRD1
ENSG00000006712,2377,PAF1
ENSG00000006715,3461,VPS41
ENSG00000006740,750,ARHGAP44
ENSG00000006744,2124,ELAC2
ENSG00000006747,14,SCIN
ENSG00000006756,487,ARSD
ENSG00000006757,203,PNPLA4
ENSG00000006788,16,MYH13
ENSG00000006831,2255,ADIPOR2
ENSG00000006837,44,CDKL3
ENSG00000007001,14,UPP2
ENSG00000007038,0,PRSS21
ENSG00000007047,2934,MARK4
ENSG00000007062,757,PROM1
ENSG00000007080,2902,CCDC124
ENSG00000007129,10,CEACAM21
ENSG00000007168,11867,PAFAH1B1
ENSG00000007171,161,NOS2
ENSG00000007174,221,DNAH9
ENSG00000007202,3242,KIAA0100
ENSG00000007216,0,SLC13A2
ENSG00000007237,812,GAS7
ENSG00000007255,205,TRAPPC6A
ENSG00000007264,208,MATK
ENSG00000007306,0,CEACAM7
ENSG00000007312,2,CD79B
ENSG00000007314,10,SCN4A
ENSG00000007341,408,ST7L
ENSG00000007350,40,TKTL1
ENSG00000007372,1479,PAX6
ENSG00000007376,678,RPUSD1
ENSG00000007384,195,RHBDF1
ENSG00000007392,4453,LUC7L
ENSG00000007402,1814,CACNA2D2
ENSG00000007516,1781,BAIAP3
ENSG00000007520,859,TSR3
ENSG00000007541,999,PIGQ
ENSG00000007545,718,CRAMP1
ENSG00000007866,419,TEAD3
ENSG00000007908,0,SELE
ENSG00000007923,1834,DNAJC11
ENSG00000007933,0,FMO3
ENSG00000007944,300,MYLIP
ENSG00000007952,19,NOX1
ENSG00000007968,302,E2F2
ENSG00000008018,2684,PSMB1
ENSG00000008056,1351,SYN1
ENSG00000008083,2458,JARID2
ENSG00000008086,1406,CDKL5
ENSG00000008118,287,CAMK1G
ENSG00000008128,50,CDK11A
ENSG00000008130,1604,NADK
ENSG00000008196,179,TFAP2B
ENSG00000008197,17,TFAP2D
ENSG00000008226,14,DLEC1
ENSG00000008256,1630,CYTH3
ENSG00000008277,2720,ADAM22
ENSG00000008282,314,SYPL1
ENSG00000008283,1880,CYB561
ENSG00000008294,9715,SPAG9
ENSG00000008300,5061,CELSR3
ENSG00000008311,2111,AASS
ENSG00000008323,4,PLEKHG6
ENSG00000008324,407,SS18L2
ENSG00000008382,434,MPND
ENSG00000008394,248,MGST1
ENSG00000008405,925,CRY1
ENSG00000008438,3,PGLYRP1
ENSG00000008441,22,NFIX
ENSG00000008513,681,ST3GAL1
ENSG00000008516,59,MMP25
ENSG00000008517,9,IL32
ENSG00000008710,5531,PKD1
ENSG00000008735,6016,MAPK8IP2
ENSG00000008838,3785,MED24
ENSG00000008853,2187,RHOBTB2
ENSG00000008869,2573,HEATR5B
ENSG00000008952,4680,SEC62
ENSG00000008988,11239,RPS20
ENSG00000009307,24375,CSDE1
ENSG00000009335,2490,UBE3C
ENSG00000009413,2325,REV3L
ENSG00000009694,1598,TENM1
ENSG00000009709,7,PAX7
ENSG00000009724,160,MASP2
ENSG00000009765,2,IYD
ENSG00000009780,277,FAM76A
ENSG00000009790,32,TRAF3IP3
ENSG00000009830,1335,POMT2
ENSG00000009844,2322,VTA1
ENSG00000009950,50,MLXIPL
ENSG00000009954,5876,BAZ1B
ENSG00000010017,1826,RANBP9
ENSG00000010030,16,ETV7
ENSG00000010072,461,SPRTN
ENSG00000010165,1031,METTL13
ENSG00000010219,291,DYRK4
ENSG00000010244,4430,ZNF207
ENSG00000010256,5078,UQCRC1
ENSG00000010270,3066,STARD3NL
ENSG00000010278,73,CD9
ENSG00000010282,2,HHATL
ENSG00000010292,2752,NCAPD2
ENSG00000010295,921,IFFO1
ENSG00000010310,405,GIPR
ENSG00000010318,151,PHF7
ENSG00000010319,14,SEMA3G
ENSG00000010322,10765,NISCH
ENSG00000010327,12,STAB1
ENSG00000010361,382,FUZ
ENSG00000010379,21,SLC6A13
ENSG00000010404,775,IDS
ENSG00000010438,4,PRSS3
ENSG00000010539,617,ZNF200
ENSG00000010610,14,CD4
ENSG00000010626,187,LRRC23
ENSG00000010671,4,BTK
ENSG00000010704,19,HFE
ENSG00000010803,1709,SCMH1
ENSG00000010810,6809,FYN
ENSG00000010818,1680,HIVEP2
ENSG00000010932,4,FMO1
ENSG00000011007,2110,ELOA
ENSG00000011009,2849,LYPLA2
ENSG00000011021,3710,CLCN6
ENSG00000011028,1621,MRC2
ENSG00000011052,0,NME1-NME2
ENSG00000011083,51,SLC6A7
ENSG00000011105,983,TSPAN9
ENSG00000011114,1090,BTBD7
ENSG00000011132,331,APBA3
ENSG00000011143,661,MKS1
ENSG00000011198,517,ABHD5
ENSG00000011201,901,ANOS1
ENSG00000011243,2268,AKAP8L
ENSG00000011258,1543,MBTD1
ENSG00000011260,1244,UTP18
ENSG00000011275,1999,RNF216
ENSG00000011295,2816,TTC19
ENSG00000011304,3443,PTBP1
ENSG00000011332,2229,DPF1
ENSG00000011347,4683,SYT7
ENSG00000011376,1512,LARS2
ENSG00000011405,1692,PIK3C2A
ENSG00000011422,37,PLAUR
ENSG00000011426,568,ANLN
ENSG00000011451,4083,WIZ
ENSG00000011454,4144,RABGAP1
ENSG00000011465,81,DCN
ENSG00000011478,203,QPCTL
ENSG00000011485,3496,PPP5C
ENSG00000011523,1975,CEP68
ENSG00000011566,1430,MAP4K3
ENSG00000011590,4,ZBTB32
ENSG00000011600,10,TYROBP
ENSG00000011638,512,LDAF1
ENSG00000011677,3728,GABRA3
ENSG00000012048,596,BRCA1
ENSG00000012061,1387,ERCC1
ENSG00000012124,21,CD22
ENSG00000012171,116,SEMA3B
ENSG00000012174,944,MBTPS2
ENSG00000012211,11,PRICKLE3
ENSG00000012223,0,LTF
ENSG00000012232,4137,EXTL3
ENSG00000012504,8,NR1H4
ENSG00000012660,3300,ELOVL5
ENSG00000012779,5,ALOX5
ENSG00000012817,1528,KDM5D
ENSG00000012822,2236,CALCOCO1
ENSG00000012963,1140,UBR7
ENSG00000012983,1919,MAP4K5
ENSG00000013016,1140,EHD3
ENSG00000013275,3276,PSMC4
ENSG00000013288,1420,MAN2B2
ENSG00000013293,1114,SLC7A14
ENSG00000013297,20,CLDN11
ENSG00000013306,1751,SLC25A39
ENSG00000013364,150,MVP
ENSG00000013374,1708,NUB1
ENSG00000013375,1032,PGM3
ENSG00000013392,615,RWDD2A
ENSG00000013441,3487,CLK1
ENSG00000013503,663,POLR3B
ENSG00000013523,749,ANGEL1
ENSG00000013561,1670,RNF14
ENSG00000013563,99,DNASE1L1
ENSG00000013573,597,DDX11
ENSG00000013583,272,HEBP1
ENSG00000013588,24,GPRC5A
ENSG00000013619,395,MAMLD1
ENSG00000013725,22,CD6
ENSG00000013810,1572,TACC3
ENSG00000014123,696,UFL1
ENSG00000014138,109,POLA2
ENSG00000014164,937,ZC3H3
ENSG00000014216,4408,CAPN1
ENSG00000014257,18,ACP3
ENSG00000014641,4842,MDH1
ENSG00000014824,3491,SLC30A9
ENSG00000014914,101,MTMR11
ENSG00000014919,844,COX15
ENSG00000015133,1604,CCDC88C
ENSG00000015153,885,YAF2
ENSG00000015171,3751,ZMYND11
ENSG00000015285,21,WAS
ENSG00000015413,6,DPEP1
ENSG00000015475,662,BID
ENSG00000015479,281,MATR3
ENSG00000015520,16,NPC1L1
ENSG00000015532,657,XYLT2
ENSG00000015568,75,RGPD5
ENSG00000015592,8414,STMN4
ENSG00000015676,5095,NUDCD3
ENSG00000016082,4243,ISL1
ENSG00000016391,53,CHDH
ENSG00000016402,13,IL20RA
ENSG00000016490,0,CLCA1
ENSG00000016602,0,CLCA4
ENSG00000016864,1624,GLT8D1
ENSG00000017260,4508,ATP2C1
ENSG00000017427,12,IGF1
ENSG00000017483,40,SLC38A5
ENSG00000017797,2114,RALBP1
ENSG00000018189,13315,RUFY3
ENSG00000018236,11124,CNTN1
ENSG00000018280,38,SLC11A1
ENSG00000018408,251,WWTR1
ENSG00000018510,2515,AGPS
ENSG00000018607,21,ZNF285CP
ENSG00000018610,621,STEEP1
ENSG00000018625,163,ATP1A2
ENSG00000018699,292,TTC27
ENSG00000018869,143,ZNF582
ENSG00000019102,40,VSIG2
ENSG00000019144,4404,PHLDB1
ENSG00000019169,8,MARCO
ENSG00000019186,1,CYP24A1
ENSG00000019485,805,PRDM11
ENSG00000019505,7158,SYT13
ENSG00000019549,58,SNAI2
ENSG00000019582,74,CD74
ENSG00000019991,4,HGF
ENSG00000019995,847,ZRANB1
ENSG00000020129,4831,NCDN
ENSG00000020181,170,ADGRA2
ENSG00000020219,10,CCT8L1P
ENSG00000020256,916,ZFP64
ENSG00000020426,458,MNAT1
ENSG00000020577,613,SAMD4A
ENSG00000020633,65,RUNX3
ENSG00000020922,710,MRE11
ENSG00000021300,171,PLEKHB1
ENSG00000021355,115,SERPINB1
ENSG00000021461,6,CYP3A43
ENSG00000021488,16,SLC7A9
ENSG00000021574,2408,SPAST
ENSG00000021645,1531,NRXN3
ENSG00000021762,1747,OSBPL5
ENSG00000021776,2022,AQR
ENSG00000021826,203,CPS1
ENSG00000021852,1,C8B
ENSG00000022267,4770,FHL1
ENSG00000022277,1880,RTF2
ENSG00000022355,71,GABRA1
ENSG00000022556,2460,NLRP2
ENSG00000022567,966,SLC45A4
ENSG00000022840,5147,RNF10
ENSG00000022976,255,ZNF839
ENSG00000023041,1097,ZDHHC6
ENSG00000023171,1373,GRAMD1B
ENSG00000023191,2102,RNH1
ENSG00000023228,3724,NDUFS1
ENSG00000023287,3784,RB1CC1
ENSG00000023318,1649,ERP44
ENSG00000023330,1904,ALAS1
ENSG00000023445,19,BIRC3
ENSG00000023516,3470,AKAP11
ENSG00000023572,490,GLRX2
ENSG00000023608,133,SNAPC1
ENSG00000023697,300,DERA
ENSG00000023734,7512,STRAP
ENSG00000023839,50,ABCC2
ENSG00000023892,26,DEF6
ENSG00000023902,2867,PLEKHO1
ENSG00000023909,296,GCLM
ENSG00000024048,1894,UBR2
ENSG00000024422,46,EHD2
ENSG00000024526,213,DEPDC1
ENSG00000024862,127,CCDC28A
ENSG00000025039,818,RRAGD
ENSG00000025156,1387,HSF2
ENSG00000025293,2479,PHF20
ENSG00000025423,48,HSD17B6
ENSG00000025434,126,NR1H3
ENSG00000025708,42,TYMP
ENSG00000025770,2240,NCAPH2
ENSG00000025772,570,TOMM34
ENSG00000025796,4335,SEC63
ENSG00000025800,2778,KPNA6
ENSG00000026025,11675,VIM
ENSG00000026036,92,RTEL1-TNFRSF6B
