GeneID,Count,GeneName
ENSG00000000003,727,TSPAN6
ENSG00000000005,8,TNMD
ENSG00000000419,1297,DPM1
ENSG00000000457,300,SCYL3
ENSG00000000460,110,C1orf112
ENSG00000000938,0,FGR
ENSG00000000971,0,CFH
ENSG00000001036,625,FUCA2
ENSG00000001084,808,GCLC
ENSG00000001167,1367,NFYA
ENSG00000001460,65,STPG1
ENSG00000001461,606,NIPAL3
ENSG00000001497,2060,LAS1L
ENSG00000001561,784,ENPP4
ENSG00000001617,490,SEMA3F
ENSG00000001626,51,CFTR
ENSG00000001629,3643,ANKIB1
ENSG00000001630,351,CYP51A1
ENSG00000001631,315,KRIT1
ENSG00000002016,501,RAD52
ENSG00000002079,15,MYH16
ENSG00000002330,289,BAD
ENSG00000002549,1629,LAP3
ENSG00000002586,512,CD99
ENSG00000002587,36,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,1,WNT16
ENSG00000002746,2283,HECW1
ENSG00000002822,12,MAD1L1
ENSG00000002834,3475,LASP1
ENSG00000002919,695,SNX11
ENSG00000002933,3,TMEM176A
ENSG00000003056,2379,M6PR
ENSG00000003096,710,KLHL13
ENSG00000003137,116,CYP26B1
ENSG00000003147,772,ICA1
ENSG00000003249,2344,DBNDD1
ENSG00000003393,2171,ALS2
ENSG00000003400,0,CASP10
ENSG00000003402,1107,CFLAR
ENSG00000003436,24,TFPI
ENSG00000003509,822,NDUFAF7
ENSG00000003756,5010,RBM5
ENSG00000003987,1428,MTMR7
ENSG00000003989,628,SLC7A2
ENSG00000004059,1911,ARF5
ENSG00000004139,1382,SARM1
ENSG00000004142,2384,POLDIP2
ENSG00000004399,286,PLXND1
ENSG00000004455,3257,AK2
ENSG00000004468,3,CD38
ENSG00000004478,4525,FKBP4
ENSG00000004487,11541,KDM1A
ENSG00000004534,4241,RBM6
ENSG00000004660,506,CAMKK1
ENSG00000004700,872,RECQL
ENSG00000004766,1269,VPS50
ENSG00000004776,5,HSPB6
ENSG00000004777,2675,ARHGAP33
ENSG00000004779,1257,NDUFAB1
ENSG00000004799,18,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,47,ZMYND10
ENSG00000004846,4,ABCB5
ENSG00000004848,0,ARX
ENSG00000004864,3432,SLC25A13
ENSG00000004866,1637,ST7
ENSG00000004897,3466,CDC27
ENSG00000004939,4,SLC4A1
ENSG00000004948,2,CALCR
ENSG00000004961,705,HCCS
ENSG00000004975,732,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,2337,UPF1
ENSG00000005020,180,SKAP2
ENSG00000005022,4074,SLC25A5
ENSG00000005059,141,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,687,POLR2J
ENSG00000005100,2263,DHX33
ENSG00000005102,2,MEOX1
ENSG00000005108,4694,THSD7A
ENSG00000005156,1118,LIG3
ENSG00000005175,1632,RPAP3
ENSG00000005187,23,ACSM3
ENSG00000005189,155,REXO5
ENSG00000005194,2037,CIAPIN1
ENSG00000005206,923,SPPL2B
ENSG00000005238,932,FAM214B
ENSG00000005243,5,COPZ2
ENSG00000005249,3658,PRKAR2B
ENSG00000005302,1415,MSL3
ENSG00000005339,3914,CREBBP
ENSG00000005379,4480,TSPOAP1
ENSG00000005381,0,MPO
ENSG00000005421,4,PON1
ENSG00000005436,892,GCFC2
ENSG00000005448,499,WDR54
ENSG00000005469,295,CROT
ENSG00000005471,12,ABCB4
ENSG00000005483,4755,KMT2E
ENSG00000005486,2410,RHBDD2
ENSG00000005513,304,SOX8
ENSG00000005700,2499,IBTK
ENSG00000005801,3284,ZNF195
ENSG00000005810,10659,MYCBP2
ENSG00000005812,702,FBXL3
ENSG00000005844,2,ITGAL
ENSG00000005882,170,PDK2
ENSG00000005884,1487,ITGA3
ENSG00000005889,870,ZFX
ENSG00000005893,3140,LAMP2
ENSG00000005961,88,ITGA2B
ENSG00000005981,0,ASB4
ENSG00000006007,1961,GDE1
ENSG00000006015,522,REX1BD
ENSG00000006016,42,CRLF1
ENSG00000006025,583,OSBPL7
ENSG00000006042,513,TMEM98
ENSG00000006047,36,YBX2
ENSG00000006059,0,KRT33A
ENSG00000006062,227,MAP3K14
ENSG00000006071,1252,ABCC8
ENSG00000006116,41,CACNG3
ENSG00000006118,7407,TMEM132A
ENSG00000006125,23046,AP2B1
ENSG00000006128,64,TAC1
ENSG00000006194,906,ZNF263
ENSG00000006210,4,CX3CL1
ENSG00000006282,265,SPATA20
ENSG00000006283,71,CACNA1G
ENSG00000006327,33,TNFRSF12A
ENSG00000006377,0,DLX6
ENSG00000006432,2453,MAP3K9
ENSG00000006451,3612,RALA
ENSG00000006453,18,BAIAP2L1
ENSG00000006459,1781,KDM7A
ENSG00000006468,1259,ETV1
ENSG00000006530,1313,AGK
ENSG00000006534,19,ALDH3B1
ENSG00000006555,0,TTC22
ENSG00000006576,1293,PHTF2
ENSG00000006606,0,CCL26
ENSG00000006607,1574,FARP2
ENSG00000006611,1,USH1C
ENSG00000006625,396,GGCT
ENSG00000006634,1231,DBF4
ENSG00000006638,2,TBXA2R
ENSG00000006652,431,IFRD1
ENSG00000006659,0,LGALS14
ENSG00000006695,823,COX10
ENSG00000006704,1342,GTF2IRD1
ENSG00000006712,1483,PAF1
ENSG00000006715,4291,VPS41
ENSG00000006740,635,ARHGAP44
ENSG00000006744,2448,ELAC2
ENSG00000006747,1,SCIN
ENSG00000006756,252,ARSD
ENSG00000006757,596,PNPLA4
ENSG00000006788,8,MYH13
ENSG00000006831,2789,ADIPOR2
ENSG00000006837,38,CDKL3
ENSG00000007001,8,UPP2
ENSG00000007038,0,PRSS21
ENSG00000007047,2565,MARK4
