"","004_Veh_1","004_Veh_2","006_Veh_1","006_Veh_2","007_Veh_1","007_Veh_2","008_Veh_1","008_Veh_2","C19_Veh_1","C19_Veh_2","22q001_Veh_1","22q001_Veh_2","22q002_Veh_1","22q002_Veh_2","22q003_Veh_1","22q003_Veh_2","22q005_Veh_1","22q005_Veh_2","1F3_Veh_1","1F3_Veh_2","004_TTX_1","004_TTX_2","006_TTX_1","006_TTX_2","007_TTX_1","007_TTX_2","008_TTX_1","008_TTX_2","C19_TTX_1","C19_TTX_2","22q001_TTX_1","22q001_TTX_2","22q002_TTX_1","22q002_TTX_2","22q003_TTX_1","22q003_TTX_2","22q005_TTX_1","22q005_TTX_2","1F3_TTX_1","1F3_TTX_2"
"hsa-let-7a-5p",16.633405828108,16.5096575512643,16.3072190578922,16.3369040259983,16.4569394957825,16.4888806690725,15.7121280714845,15.8321773064172,14.6423415537626,14.6404925973551,15.8760134549314,15.864209777781,15.0772643769154,15.0284938557628,15.3229288260715,15.0467864299729,16.3765426671865,16.3577932443709,15.2030896304117,15.2180522021618,16.3345313122058,16.3495935163423,16.1697693229519,16.1778633452963,16.0876511596625,16.4464803946904,16.111021768202,16.112078428751,15.4006810588586,15.3522797131701,15.8879770326515,15.809099648193,15.1286454436866,15.1557942562897,15.0900931223901,15.0386691441833,16.4262453852576,16.4241380759792,14.3803514226507,14.3217102035776
"hsa-let-7a-3p",4.95977408649521,4.48878514482759,4.64779947881782,4.48194878487237,4.28238971994646,5.25821854355217,4.20321160057241,3.988277474462,3.09220220484791,2.7561067802293,3.40238942227611,4.27335016323733,3.71902919114841,4.51659027203668,4.4811224117679,4.23974410704149,4.20490188283422,4.08727007120751,4.01529452074301,3.31509891323174,4.62736557802627,4.96640997988684,5.45784482857735,4.78659593657933,4.36301682947953,4.27184519605081,4.38953508211736,4.31085000537207,3.83065220462257,3.61267091503285,4.41676920860448,4.62186523450363,4.44742260869396,4.73528660852313,4.09657280344384,3.38782766428152,5.8518650739537,5.55281581716657,4.08674048164855,4.06191629903625
"hsa-let-7a-2-3p",2.80269450647883,2.52239845416863,2.41818197914868,3.11467966428407,4.02323976643061,3.84069736755111,2.87502441353514,3.14390531481953,2.48747318830659,2.52202484658821,3.56389235277374,2.39684541413579,2.47255408929487,1.51660866229481,2.22487349668164,2.83507026927859,3.12794556146304,3.90479080557831,2.99232483984904,3.4408379798677,2.76068100161339,3.24294214795765,2.58626593159621,3.00745057324828,4.02899510386777,3.65011552469994,1.89114442339628,1.33739311368316,4.04256313807503,3.82011832539448,2.45738360969357,2.90895500175978,2.60165918219399,2.65634034990993,2.69893301245855,2.45211360653393,3.37645625034735,4.04940538505448,2.47574097214248,1.82457260456607
"hsa-let-7b-5p",13.9904967071203,13.8914410363912,13.2745548974725,13.3141535620377,13.8123853563849,13.8987688731703,12.7980767199778,12.8573362035009,11.2059989974775,11.1549048993862,12.5884133936021,12.6014829830495,12.242162565786,12.1233248323534,12.3802461315009,12.0470109040905,13.9032510383466,13.9366913096968,11.8108237249154,11.8749118518121,13.6528484261182,13.6887285327986,13.2100416636722,13.1484991381824,13.3276516995238,13.7993434146861,13.33368089647,13.3599988592262,12.1880357730027,12.1506306925973,12.5046643885373,12.4145049916344,12.3554682072441,12.3290699383868,11.708085807722,11.6384206934202,13.7772067997048,13.7654990712911,10.7929589363247,10.7056255278699
"hsa-let-7b-3p",7.77002671924921,7.73860441231145,7.04337433415522,6.75929986500934,7.6983480680971,8.04403086250678,7.01346841404947,6.90652643572228,4.88702101549695,5.02333653505394,6.90715243020036,6.88393783253312,5.86620167325885,5.74807357786562,6.29898361005311,6.25233484618863,7.96515966904323,7.70863477570816,5.38128312983183,5.27684687557692,7.52572751060544,7.7326451540386,7.31732290560294,7.04522747217124,7.3039547823818,7.91349550806131,7.37770184295012,7.5680032925212,6.2678370266048,6.1029016380168,6.64494083885086,6.53508100776623,5.80614086071305,6.04358635070495,5.70652018928999,5.77454601132566,7.95902789074392,8.11467311514805,4.08674048164855,4.6986922279392
"hsa-let-7c-5p",16.1419328928935,16.0002491104307,15.973785096288,15.9836135637238,16.0730225825384,16.1264886494515,15.6767619351116,15.7599976896751,15.4297823055495,15.4250085783573,16.1438815669634,16.1895067316065,15.4199617769089,15.3590037661234,15.9786208155576,15.6971540835033,16.0124865520133,15.9928757913605,15.8649086791782,15.864071001616,15.9214643539063,15.9571412554124,15.735614399973,15.7698209233557,16.4058025889955,16.7866374025565,15.7228650769138,15.7120076313038,16.1392121631462,16.0818029384062,16.2568507209372,16.2148453864875,15.716211929826,15.7278615826074,15.63776648246,15.556659934827,16.3459701738627,16.3253390896238,15.3630269633992,15.2915570754433
"hsa-let-7c-3p",6.32315447492195,6.44678543899978,5.88050932944329,6.12992558488829,7.49015094890447,7.75573988433424,6.91822480451138,6.95605401710487,6.47151131137761,6.5349127369898,7.23929319232307,7.26785375968092,6.42461253356937,6.27022043531413,6.68705467170957,6.40468037021448,6.91184673874381,6.91478673368353,7.41869547277488,7.49038338071318,7.43776647542538,7.26712019433833,6.9759271716823,7.04522747217124,8.31818492293534,8.34814328580371,7.03596490988756,7.19322565831932,7.81396623610994,7.88363575539889,7.30738335295468,7.57811286583484,7.29340357411867,7.52269777328314,7.02859805396726,7.13641557053883,8.05963440004914,8.00140525002995,7.37492029962013,7.32256459235732
"hsa-let-7d-5p",12.1621592670467,12.0721720861623,12.0323224929751,12.0402332833294,12.1540914972639,12.0951243516511,11.2211328542072,11.3732480204259,9.6146847727743,9.45834788867514,10.9935659791065,11.0141952884714,11.4452826156255,11.3575169668368,10.9603878658455,10.6657334959518,12.1131804606477,12.0949999697881,11.0775164152621,11.0560002274086,12.0270212474506,12.1458276504762,11.5218154783127,11.5370576834559,11.5866821384758,11.9692148514318,11.7741101451749,11.666300979558,10.6320671507542,10.5716774435254,10.8500852565259,10.8464747695218,11.4067326788649,11.3954538950611,10.4859825745537,10.4579003190063,11.82662390004,11.8065002533036,10.491407272642,10.3444524525498
"hsa-let-7d-3p",10.2587887022982,10.3773029142631,10.047757480146,10.1129691295517,10.4739027165564,10.5710035228455,9.86184926513234,10.0276641799151,8.22647045352436,7.969225707067,9.70284157784856,9.67886628512042,9.8381988551388,9.82919096915305,9.24672411260153,9.11310758954338,10.4036106036574,10.5073498609309,9.12224121257999,9.22499642684031,10.4945149193278,10.5189779026391,9.90177289870327,9.90511589366705,10.1837385081824,10.5520547807257,10.2087944395881,10.1392906623764,9.1724468009403,9.23822926643809,9.53262271295275,9.55069708796259,9.94251166001231,9.860436801581,8.87533914071777,9.0462145960782,10.0244036848306,10.113825887862,8.88949529530833,8.80319108232799
"hsa-let-7e-5p",14.4181229691267,14.3242382298621,14.225846755269,14.2276975032572,14.235110151838,14.3005365522382,14.077975040651,14.1367080917328,13.9475286163983,13.8814746614234,13.7447565398967,13.7059079593467,13.4370419380728,13.4073700046882,13.6965310309198,13.4211240513802,14.089177878014,14.1186190360835,12.991364172144,13.0112503641754,14.071793318027,14.1357266520795,14.1082924744535,14.0844275328468,14.145038292879,14.4593409373693,14.090011796813,14.150322448698,13.9872597369131,13.9757631105202,14.0664430367689,13.9579627600946,13.4752824172677,13.4136450708767,13.7220030843077,13.6216832676532,14.1067528784351,14.0850862757505,12.8015087379309,12.7115294835225
"hsa-let-7e-3p",7.63324855770141,7.59279725721918,7.65344606206454,7.57653076516748,7.60688198840656,7.99621076998987,7.49265204632617,7.47517460920702,7.35830902546662,7.61713913158429,7.69362631041912,7.84305855482133,6.65733411560282,6.88125264724892,7.07805874639446,7.25399813378734,7.88336212765388,8.0250777630653,6.41794173872435,6.4024915037597,7.44598827755707,7.60965780611057,7.62423703551149,7.56016889798981,7.75284862264925,7.82340311088964,7.77755240405342,7.6718030998197,7.65455403023281,7.61262695560097,7.63080906176988,7.38757441997856,7.17069077042538,7.11860075616405,7.26628426398152,7.29144940524959,7.68174014177163,7.91020768974608,6.74868710584572,6.62996128104157
"hsa-let-7f-5p",16.9134443317005,16.7583659359332,16.9880977930829,16.970955106025,16.8766837682026,16.894389131017,16.2116903841253,16.283001721083,15.2741486174893,15.2572779979643,16.494757763264,16.4561252486403,15.9805916065549,15.9193919878838,16.2528316102597,15.999459071859,16.8608050422602,16.8040918573674,16.1313877426528,16.1187588326976,16.6392599135237,16.5871000756531,16.5694244918302,16.5517967658801,16.5442944525937,16.7864153117006,16.5680766134244,16.5646434337358,15.836993867142,15.7515463424512,16.5213165948927,16.5059130559771,16.1235029750252,16.0900816618639,16.048723405445,15.9397727041402,16.8262551335273,16.7719330572661,15.5155137618365,15.4459956609487
"hsa-let-7f-1-3p",5.7857832990005,6.02501133896065,5.76715604045574,5.55604907464209,6.3662261648339,6.12587384450705,5.77895135119527,5.54336507354081,3.6296985254389,1.3659003582836,4.87153095185634,4.95286508633872,6.29246539894116,5.8128299065757,4.86527920473957,5.50623681355205,6.35477378618311,5.83984293824847,5.27132885188661,5.27684687557692,6.008403981804,6.41947470128115,5.84823493250122,6.14962728082841,5.87713290162941,6.34172667619465,5.70189990868232,6.29264601308064,4.73280355913733,4.82105278102043,5.44618155140829,5.20665693279182,6.13274474464786,6.06794679848374,5.42164496125321,4.05661210376751,6.550036862466,6.52277420731403,4.77518552323664,5.10010310339846
"hsa-let-7f-2-3p",9.30189253883464,9.22808989557573,9.04679282057883,9.14075590479579,9.23465312174749,9.13258458082399,8.05569556580061,8.21936457963339,6.97655691441816,7.26587807923529,8.63811319947627,8.39433768113737,8.41048551744039,8.37714027460318,8.17337428856517,7.90482546800823,8.86463140341274,8.90926870952866,8.73068607729254,8.84855183277478,9.07944618123139,9.21952750257071,9.49666326873604,9.47724348362382,8.70875691905913,9.04121097360375,8.74437833151297,9.02774326452274,7.87723833542142,8.03616660595239,8.47771229002279,8.37090133482483,8.74731213705997,8.62578505635539,8.33750563301732,8.18839197770084,9.9028072465102,9.82185754049855,8.44264082113541,8.59817314106314
"hsa-miR-15a-5p",6.72551027414398,6.71966100145719,7.34136408423152,6.94015232727227,6.75508989209436,6.74318573361653,7.66389706301226,6.67963342775744,6.51729639703698,7.04653200979111,6.59106489771951,6.47680459241119,6.58385467463626,6.24697809016095,6.48269899732994,6.54246042420642,8.03501063649261,7.80263502636315,6.59566299795205,6.74218842123231,6.55618586510498,6.38237979993517,6.87626796180723,6.51342378694116,6.38156565578961,6.59731486289815,6.77060412427545,7.15552287387901,6.28867620175932,6.08301840399805,6.57661988362863,6.74043722915784,6.64410142593106,6.74846862148006,6.77500845015749,6.68132535521374,7.29536397585423,6.9947163570891,6.54527715484751,6.99669525482155
"hsa-miR-15a-3p",1.27839936749952,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,1.7068406535338,-0.0251696636485137,-0.0251696636485137,1.15756908795602,1.84995636052087,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,2.45663566529386,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,1.2972638262238,1.27107869554661,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,2.60165918219399,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137
"hsa-miR-16-5p",12.3182288851682,12.3117147325147,12.5533304259548,12.5687906040031,12.2350739423958,12.2447276541276,12.153948065002,12.0149557658942,10.6798290254259,10.6671016153253,11.0986848268181,11.1450035659686,11.6582385016296,11.6940725371327,11.1647709515391,11.1940423753793,12.5085248445057,12.4946165178874,12.0880456859848,11.9583668718146,12.1189102643487,12.1287821686081,12.1983012236624,12.0678408189434,11.4243120277622,11.2602539250368,12.132641979336,12.124351639287,11.1701646767654,11.0044182592997,11.3017107666458,11.2480985933165,11.816212167863,11.83970171235,11.4206145501702,11.3924642755951,12.0108345783729,12.0229267045469,11.9219003123953,11.8982145638589
"hsa-miR-16-1-3p",-0.0251696636485137,1.22824497661603,1.30068317845528,2.37380639938721,2.53248264789641,2.49003546319816,1.59520801721099,1.15756908795602,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,1.52779136945565,-0.0251696636485137,1.35623432194701,1.41362318701318,-0.0251696636485137,1.37846347144568,-0.0251696636485137,-0.0251696636485137,1.36864788584573,2.62141101062249,-0.0251696636485137,2.13798780991281,-0.0251696636485137,1.98821083114835,1.89114442339628,1.84129021924211,1.45048676647208,-0.0251696636485137,-0.0251696636485137,1.33870612625116,1.61929804781762,-0.0251696636485137,-0.0251696636485137,2.06710429884675,-0.0251696636485137,1.40437746082173,2.19620685848615,-0.0251696636485137
"hsa-miR-17-5p",12.5666685209309,12.5567681068885,12.6298794266853,12.6320481483972,12.5309246689721,12.5836055933132,12.3468691810163,12.0236923186294,12.2236370804503,12.3115231991362,11.7743282348709,11.7201426397873,12.2913138245129,12.3216121818012,11.7403331170524,11.6859235031704,12.7890483557365,12.8760102382791,12.6872390708336,12.4981017989263,12.3609571456322,12.3790573322806,12.6309728574149,12.5322755071715,12.3711829299043,12.0779251784531,12.4734442954878,12.5167937723307,12.5515872404719,12.4004690488839,11.5508248092271,11.553772655366,12.5692620186166,12.5458849977798,11.8541945097112,11.96294665626,12.6727281600811,12.7163061469372,12.6949903793741,12.7931060795172
"hsa-miR-17-3p",5.74015936354272,5.64709057377873,5.50960437113629,4.98731060331846,5.11404659811682,5.49084279092347,5.21011669006296,4.64215676066022,5.21823232731997,5.02333653505394,5.09801441359504,5.0573012359458,5.10911112611937,4.79855691359593,5.08795492575029,5.5721051680625,5.76257339032694,5.46575018749972,5.51594341065924,5.68232715698544,5.15490609748421,4.80741548618981,5.31282811820127,4.73950646618891,4.47752725339193,5.19941804762105,5.49297329160502,5.00601480678199,5.05843970355503,4.95846780243777,5.24946719327505,5.24316085772893,4.92396434509087,4.96037168717578,5.49831333992365,5.13286604561842,5.475979055618,5.52027616224768,4.96151051689445,5.50467161041381
"hsa-miR-18a-5p",7.24963128015076,7.30653269793491,7.0138686418334,7.09186345171113,6.77623758195726,6.98015035779694,6.05753508632649,6.24740123863035,6.63272785661365,6.63856555815745,6.13555041285395,5.76060737730633,7.30904519343301,7.61166488880112,6.52899252724525,6.40468037021448,6.8092602995949,6.66596367328353,7.50215098571078,7.3623445192244,7.03087020898583,6.73114704133515,7.28853709638426,6.99605230801548,6.63652392015059,6.17237093506371,6.94501778615504,6.6039077870837,6.81928827950454,6.52746685722525,6.46009336606899,6.24247757457603,7.54468095530812,7.20898361243987,6.46712159721589,6.57385892262197,7.12006882042544,6.95875604665482,8.0496857403746,7.81839608058025
