GeneID,Count,GeneName
ENSG00000000003,2867,TSPAN6
ENSG00000000005,174,TNMD
ENSG00000000419,1230,DPM1
ENSG00000000457,243,SCYL3
ENSG00000000460,99,C1orf112
ENSG00000000938,39,FGR
ENSG00000000971,0,CFH
ENSG00000001036,794,FUCA2
ENSG00000001084,604,GCLC
ENSG00000001167,2118,NFYA
ENSG00000001460,155,STPG1
ENSG00000001461,869,NIPAL3
ENSG00000001497,1108,LAS1L
ENSG00000001561,909,ENPP4
ENSG00000001617,1048,SEMA3F
ENSG00000001626,20,CFTR
ENSG00000001629,2665,ANKIB1
ENSG00000001630,407,CYP51A1
ENSG00000001631,187,KRIT1
ENSG00000002016,236,RAD52
ENSG00000002079,6,MYH16
ENSG00000002330,429,BAD
ENSG00000002549,1044,LAP3
ENSG00000002586,5516,CD99
ENSG00000002587,845,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,2,WNT16
ENSG00000002746,2138,HECW1
ENSG00000002822,2,MAD1L1
ENSG00000002834,6139,LASP1
ENSG00000002919,658,SNX11
ENSG00000002933,46,TMEM176A
ENSG00000003056,1700,M6PR
ENSG00000003096,1467,KLHL13
ENSG00000003137,1875,CYP26B1
ENSG00000003147,303,ICA1
ENSG00000003249,1315,DBNDD1
ENSG00000003393,2024,ALS2
ENSG00000003400,18,CASP10
ENSG00000003402,404,CFLAR
ENSG00000003436,1077,TFPI
ENSG00000003509,349,NDUFAF7
ENSG00000003756,2178,RBM5
ENSG00000003987,503,MTMR7
ENSG00000003989,215,SLC7A2
ENSG00000004059,2481,ARF5
ENSG00000004139,691,SARM1
ENSG00000004142,2361,POLDIP2
ENSG00000004399,2838,PLXND1
ENSG00000004455,1810,AK2
ENSG00000004468,49,CD38
ENSG00000004478,3381,FKBP4
ENSG00000004487,6953,KDM1A
ENSG00000004534,3019,RBM6
ENSG00000004660,490,CAMKK1
ENSG00000004700,447,RECQL
ENSG00000004766,1345,VPS50
ENSG00000004776,9,HSPB6
ENSG00000004777,4965,ARHGAP33
ENSG00000004779,1342,NDUFAB1
ENSG00000004799,50,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,36,ZMYND10
ENSG00000004846,4,ABCB5
ENSG00000004848,1001,ARX
ENSG00000004864,455,SLC25A13
ENSG00000004866,1275,ST7
ENSG00000004897,1952,CDC27
ENSG00000004939,40,SLC4A1
ENSG00000004948,75,CALCR
ENSG00000004961,422,HCCS
ENSG00000004975,1213,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,3349,UPF1
ENSG00000005020,325,SKAP2
ENSG00000005022,4087,SLC25A5
ENSG00000005059,674,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,651,POLR2J
ENSG00000005100,869,DHX33
ENSG00000005102,2,MEOX1
ENSG00000005108,9770,THSD7A
ENSG00000005156,857,LIG3
ENSG00000005175,1111,RPAP3
ENSG00000005187,1,ACSM3
ENSG00000005189,170,REXO5
ENSG00000005194,1505,CIAPIN1
ENSG00000005206,1370,SPPL2B
ENSG00000005238,818,FAM214B
ENSG00000005243,46,COPZ2
ENSG00000005249,4764,PRKAR2B
ENSG00000005302,695,MSL3
ENSG00000005339,3973,CREBBP
ENSG00000005379,1028,TSPOAP1
ENSG00000005381,4,MPO
ENSG00000005421,0,PON1
ENSG00000005436,468,GCFC2
ENSG00000005448,774,WDR54
ENSG00000005469,708,CROT
ENSG00000005471,16,ABCB4
ENSG00000005483,5466,KMT2E
ENSG00000005486,5707,RHBDD2
ENSG00000005513,760,SOX8
ENSG00000005700,2170,IBTK
ENSG00000005801,1503,ZNF195
ENSG00000005810,4116,MYCBP2
ENSG00000005812,1081,FBXL3
ENSG00000005844,22,ITGAL
ENSG00000005882,397,PDK2
ENSG00000005884,928,ITGA3
ENSG00000005889,1214,ZFX
ENSG00000005893,7531,LAMP2
ENSG00000005961,25,ITGA2B
ENSG00000005981,2,ASB4
ENSG00000006007,2320,GDE1
ENSG00000006015,729,REX1BD
ENSG00000006016,23,CRLF1
ENSG00000006025,318,OSBPL7
ENSG00000006042,2631,TMEM98
ENSG00000006047,58,YBX2
ENSG00000006059,0,KRT33A
ENSG00000006062,174,MAP3K14
ENSG00000006071,177,ABCC8
ENSG00000006116,276,CACNG3
ENSG00000006118,19589,TMEM132A
ENSG00000006125,19088,AP2B1
ENSG00000006128,1781,TAC1
ENSG00000006194,1172,ZNF263
ENSG00000006210,2179,CX3CL1
ENSG00000006282,383,SPATA20
ENSG00000006283,790,CACNA1G
ENSG00000006327,210,TNFRSF12A
ENSG00000006377,55,DLX6
ENSG00000006432,1665,MAP3K9
ENSG00000006451,2772,RALA
ENSG00000006453,53,BAIAP2L1
ENSG00000006459,616,KDM7A
ENSG00000006468,3306,ETV1
ENSG00000006530,1060,AGK
ENSG00000006534,99,ALDH3B1
ENSG00000006555,2,TTC22
ENSG00000006576,1888,PHTF2
ENSG00000006606,0,CCL26
ENSG00000006607,877,FARP2
ENSG00000006611,0,USH1C
ENSG00000006625,403,GGCT
ENSG00000006634,504,DBF4
ENSG00000006638,19,TBXA2R
ENSG00000006652,413,IFRD1
ENSG00000006659,1,LGALS14
ENSG00000006695,558,COX10
ENSG00000006704,999,GTF2IRD1
ENSG00000006712,2431,PAF1
ENSG00000006715,3381,VPS41
ENSG00000006740,750,ARHGAP44
ENSG00000006744,1484,ELAC2
ENSG00000006747,12,SCIN
ENSG00000006756,854,ARSD
ENSG00000006757,55,PNPLA4
ENSG00000006788,0,MYH13
ENSG00000006831,3284,ADIPOR2
ENSG00000006837,52,CDKL3
ENSG00000007001,15,UPP2
ENSG00000007038,0,PRSS21
ENSG00000007047,3487,MARK4
ENSG00000007062,615,PROM1
ENSG00000007080,3843,CCDC124
ENSG00000007129,146,CEACAM21
ENSG00000007168,10129,PAFAH1B1
ENSG00000007171,16,NOS2
ENSG00000007174,0,DNAH9
ENSG00000007202,2397,KIAA0100
ENSG00000007216,0,SLC13A2
ENSG00000007237,3759,GAS7
ENSG00000007255,274,TRAPPC6A
ENSG00000007264,432,MATK
ENSG00000007306,0,CEACAM7
ENSG00000007312,3,CD79B
ENSG00000007314,0,SCN4A
ENSG00000007341,420,ST7L
ENSG00000007350,341,TKTL1
ENSG00000007372,1843,PAX6
ENSG00000007376,460,RPUSD1
ENSG00000007384,102,RHBDF1
ENSG00000007392,1673,LUC7L
ENSG00000007402,2963,CACNA2D2
ENSG00000007516,585,BAIAP3
ENSG00000007520,983,TSR3
ENSG00000007541,1204,PIGQ
ENSG00000007545,734,CRAMP1
ENSG00000007866,241,TEAD3
ENSG00000007908,1,SELE
ENSG00000007923,1153,DNAJC11
ENSG00000007933,2,FMO3
ENSG00000007944,105,MYLIP
ENSG00000007952,31,NOX1
ENSG00000007968,265,E2F2
ENSG00000008018,2545,PSMB1
ENSG00000008056,1772,SYN1
ENSG00000008083,1581,JARID2
ENSG00000008086,2147,CDKL5
ENSG00000008118,46,CAMK1G
ENSG00000008128,10,CDK11A
ENSG00000008130,1171,NADK
ENSG00000008196,1021,TFAP2B
ENSG00000008197,10,TFAP2D
ENSG00000008226,4,DLEC1
ENSG00000008256,1432,CYTH3
ENSG00000008277,3105,ADAM22
ENSG00000008282,1316,SYPL1
ENSG00000008283,1318,CYB561
ENSG00000008294,8703,SPAG9
ENSG00000008300,6690,CELSR3
ENSG00000008311,1686,AASS
ENSG00000008323,10,PLEKHG6
ENSG00000008324,468,SS18L2
ENSG00000008382,320,MPND
ENSG00000008394,845,MGST1
ENSG00000008405,1039,CRY1
ENSG00000008438,0,PGLYRP1
ENSG00000008441,5937,NFIX
ENSG00000008513,3119,ST3GAL1
ENSG00000008516,58,MMP25
ENSG00000008517,48,IL32
ENSG00000008710,2421,PKD1
ENSG00000008735,7178,MAPK8IP2
ENSG00000008838,3256,MED24
ENSG00000008853,1869,RHOBTB2
ENSG00000008869,1875,HEATR5B
ENSG00000008952,11530,SEC62
ENSG00000008988,22536,RPS20
ENSG00000009307,24609,CSDE1
ENSG00000009335,1647,UBE3C
ENSG00000009413,3330,REV3L
ENSG00000009694,2343,TENM1
ENSG00000009709,198,PAX7
ENSG00000009724,96,MASP2
ENSG00000009765,0,IYD
ENSG00000009780,306,FAM76A
ENSG00000009790,18,TRAF3IP3
ENSG00000009830,1029,POMT2
ENSG00000009844,4132,VTA1
ENSG00000009950,51,MLXIPL
