GeneID,Count,GeneName
ENSG00000000003,3138,TSPAN6
ENSG00000000005,188,TNMD
ENSG00000000419,706,DPM1
ENSG00000000457,196,SCYL3
ENSG00000000460,147,C1orf112
ENSG00000000938,16,FGR
ENSG00000000971,0,CFH
ENSG00000001036,822,FUCA2
ENSG00000001084,461,GCLC
ENSG00000001167,1623,NFYA
ENSG00000001460,294,STPG1
ENSG00000001461,1017,NIPAL3
ENSG00000001497,1020,LAS1L
ENSG00000001561,811,ENPP4
ENSG00000001617,722,SEMA3F
ENSG00000001626,47,CFTR
ENSG00000001629,2967,ANKIB1
ENSG00000001630,346,CYP51A1
ENSG00000001631,206,KRIT1
ENSG00000002016,234,RAD52
ENSG00000002079,2,MYH16
ENSG00000002330,415,BAD
ENSG00000002549,921,LAP3
ENSG00000002586,7612,CD99
ENSG00000002587,185,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,2,WNT16
ENSG00000002746,2258,HECW1
ENSG00000002822,4,MAD1L1
ENSG00000002834,6590,LASP1
ENSG00000002919,727,SNX11
ENSG00000002933,24,TMEM176A
ENSG00000003056,2015,M6PR
ENSG00000003096,1990,KLHL13
ENSG00000003137,12990,CYP26B1
ENSG00000003147,268,ICA1
ENSG00000003249,1116,DBNDD1
ENSG00000003393,1599,ALS2
ENSG00000003400,6,CASP10
ENSG00000003402,593,CFLAR
ENSG00000003436,1003,TFPI
ENSG00000003509,238,NDUFAF7
ENSG00000003756,1985,RBM5
ENSG00000003987,466,MTMR7
ENSG00000003989,63,SLC7A2
ENSG00000004059,2860,ARF5
ENSG00000004139,619,SARM1
ENSG00000004142,2156,POLDIP2
ENSG00000004399,936,PLXND1
ENSG00000004455,1315,AK2
ENSG00000004468,84,CD38
ENSG00000004478,2788,FKBP4
ENSG00000004487,6606,KDM1A
ENSG00000004534,3082,RBM6
ENSG00000004660,355,CAMKK1
ENSG00000004700,544,RECQL
ENSG00000004766,1317,VPS50
ENSG00000004776,0,HSPB6
ENSG00000004777,4813,ARHGAP33
ENSG00000004779,1205,NDUFAB1
ENSG00000004799,26,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,54,ZMYND10
ENSG00000004846,8,ABCB5
ENSG00000004848,309,ARX
ENSG00000004864,632,SLC25A13
ENSG00000004866,957,ST7
ENSG00000004897,1781,CDC27
ENSG00000004939,19,SLC4A1
ENSG00000004948,152,CALCR
ENSG00000004961,364,HCCS
ENSG00000004975,1439,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,3417,UPF1
ENSG00000005020,215,SKAP2
ENSG00000005022,2961,SLC25A5
ENSG00000005059,457,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,673,POLR2J
ENSG00000005100,834,DHX33
ENSG00000005102,2,MEOX1
ENSG00000005108,5861,THSD7A
ENSG00000005156,997,LIG3
ENSG00000005175,1086,RPAP3
ENSG00000005187,2,ACSM3
ENSG00000005189,207,REXO5
ENSG00000005194,1405,CIAPIN1
ENSG00000005206,1392,SPPL2B
ENSG00000005238,1016,FAM214B
ENSG00000005243,22,COPZ2
ENSG00000005249,3940,PRKAR2B
ENSG00000005302,707,MSL3
ENSG00000005339,4398,CREBBP
ENSG00000005379,912,TSPOAP1
ENSG00000005381,0,MPO
ENSG00000005421,0,PON1
ENSG00000005436,273,GCFC2
ENSG00000005448,643,WDR54
ENSG00000005469,566,CROT
ENSG00000005471,11,ABCB4
ENSG00000005483,5272,KMT2E
ENSG00000005486,5784,RHBDD2
ENSG00000005513,568,SOX8
ENSG00000005700,2231,IBTK
ENSG00000005801,1247,ZNF195
ENSG00000005810,4633,MYCBP2
ENSG00000005812,860,FBXL3
ENSG00000005844,24,ITGAL
ENSG00000005882,365,PDK2
ENSG00000005884,1523,ITGA3
ENSG00000005889,639,ZFX
ENSG00000005893,8363,LAMP2
ENSG00000005961,25,ITGA2B
ENSG00000005981,0,ASB4
ENSG00000006007,2166,GDE1
ENSG00000006015,621,REX1BD
ENSG00000006016,23,CRLF1
ENSG00000006025,255,OSBPL7
ENSG00000006042,2063,TMEM98
ENSG00000006047,125,YBX2
ENSG00000006059,0,KRT33A
ENSG00000006062,178,MAP3K14
ENSG00000006071,300,ABCC8
ENSG00000006116,180,CACNG3
ENSG00000006118,15212,TMEM132A
ENSG00000006125,22193,AP2B1
ENSG00000006128,1453,TAC1
ENSG00000006194,973,ZNF263
ENSG00000006210,2240,CX3CL1
ENSG00000006282,472,SPATA20
ENSG00000006283,1739,CACNA1G
ENSG00000006327,311,TNFRSF12A
ENSG00000006377,22,DLX6
ENSG00000006432,2042,MAP3K9
ENSG00000006451,2555,RALA
ENSG00000006453,35,BAIAP2L1
ENSG00000006459,780,KDM7A
ENSG00000006468,2185,ETV1
ENSG00000006530,940,AGK
ENSG00000006534,123,ALDH3B1
ENSG00000006555,0,TTC22
ENSG00000006576,1379,PHTF2
ENSG00000006606,0,CCL26
ENSG00000006607,938,FARP2
ENSG00000006611,0,USH1C
ENSG00000006625,281,GGCT
ENSG00000006634,379,DBF4
ENSG00000006638,0,TBXA2R
ENSG00000006652,265,IFRD1
ENSG00000006659,0,LGALS14
ENSG00000006695,507,COX10
ENSG00000006704,983,GTF2IRD1
ENSG00000006712,2329,PAF1
ENSG00000006715,3099,VPS41
ENSG00000006740,432,ARHGAP44
ENSG00000006744,2000,ELAC2
ENSG00000006747,32,SCIN
ENSG00000006756,873,ARSD
ENSG00000006757,125,PNPLA4
ENSG00000006788,0,MYH13
