GeneID,Count,GeneName
ENSG00000000003,2037,TSPAN6
ENSG00000000005,90,TNMD
ENSG00000000419,1195,DPM1
ENSG00000000457,277,SCYL3
ENSG00000000460,96,C1orf112
ENSG00000000938,79,FGR
ENSG00000000971,0,CFH
ENSG00000001036,506,FUCA2
ENSG00000001084,428,GCLC
ENSG00000001167,2084,NFYA
ENSG00000001460,329,STPG1
ENSG00000001461,1243,NIPAL3
ENSG00000001497,1227,LAS1L
ENSG00000001561,630,ENPP4
ENSG00000001617,628,SEMA3F
ENSG00000001626,19,CFTR
ENSG00000001629,3159,ANKIB1
ENSG00000001630,220,CYP51A1
ENSG00000001631,203,KRIT1
ENSG00000002016,236,RAD52
ENSG00000002079,3,MYH16
ENSG00000002330,504,BAD
ENSG00000002549,959,LAP3
ENSG00000002586,5118,CD99
ENSG00000002587,252,HS3ST1
ENSG00000002726,3,AOC1
ENSG00000002745,11,WNT16
ENSG00000002746,1707,HECW1
ENSG00000002822,2,MAD1L1
ENSG00000002834,10483,LASP1
ENSG00000002919,766,SNX11
ENSG00000002933,48,TMEM176A
ENSG00000003056,1268,M6PR
ENSG00000003096,3754,KLHL13
ENSG00000003137,1798,CYP26B1
ENSG00000003147,404,ICA1
ENSG00000003249,2201,DBNDD1
ENSG00000003393,1913,ALS2
ENSG00000003400,33,CASP10
ENSG00000003402,671,CFLAR
ENSG00000003436,608,TFPI
ENSG00000003509,336,NDUFAF7
ENSG00000003756,1610,RBM5
ENSG00000003987,637,MTMR7
ENSG00000003989,138,SLC7A2
ENSG00000004059,3228,ARF5
ENSG00000004139,886,SARM1
ENSG00000004142,2907,POLDIP2
ENSG00000004399,2751,PLXND1
ENSG00000004455,2038,AK2
ENSG00000004468,14,CD38
ENSG00000004478,4361,FKBP4
ENSG00000004487,7963,KDM1A
ENSG00000004534,3526,RBM6
ENSG00000004660,581,CAMKK1
ENSG00000004700,482,RECQL
ENSG00000004766,1167,VPS50
ENSG00000004776,2,HSPB6
ENSG00000004777,7841,ARHGAP33
ENSG00000004779,1776,NDUFAB1
ENSG00000004799,81,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,44,ZMYND10
ENSG00000004846,0,ABCB5
ENSG00000004848,4475,ARX
ENSG00000004864,783,SLC25A13
ENSG00000004866,910,ST7
ENSG00000004897,1833,CDC27
ENSG00000004939,54,SLC4A1
ENSG00000004948,233,CALCR
ENSG00000004961,498,HCCS
ENSG00000004975,1512,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,2898,UPF1
ENSG00000005020,457,SKAP2
ENSG00000005022,4438,SLC25A5
ENSG00000005059,606,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,998,POLR2J
ENSG00000005100,1032,DHX33
ENSG00000005102,4,MEOX1
ENSG00000005108,2910,THSD7A
ENSG00000005156,1020,LIG3
ENSG00000005175,1211,RPAP3
ENSG00000005187,4,ACSM3
ENSG00000005189,312,REXO5
ENSG00000005194,1458,CIAPIN1
ENSG00000005206,862,SPPL2B
ENSG00000005238,1298,FAM214B
ENSG00000005243,11,COPZ2
ENSG00000005249,6524,PRKAR2B
ENSG00000005302,846,MSL3
ENSG00000005339,5150,CREBBP
ENSG00000005379,1577,TSPOAP1
ENSG00000005381,4,MPO
ENSG00000005421,2,PON1
ENSG00000005436,455,GCFC2
ENSG00000005448,741,WDR54
ENSG00000005469,1012,CROT
ENSG00000005471,12,ABCB4
ENSG00000005483,7961,KMT2E
ENSG00000005486,5940,RHBDD2
ENSG00000005513,1902,SOX8
ENSG00000005700,2659,IBTK
ENSG00000005801,1569,ZNF195
ENSG00000005810,5259,MYCBP2
ENSG00000005812,1136,FBXL3
ENSG00000005844,37,ITGAL
ENSG00000005882,604,PDK2
ENSG00000005884,1144,ITGA3
ENSG00000005889,795,ZFX
ENSG00000005893,5635,LAMP2
ENSG00000005961,17,ITGA2B
ENSG00000005981,1,ASB4
ENSG00000006007,1968,GDE1
ENSG00000006015,827,REX1BD
ENSG00000006016,40,CRLF1
ENSG00000006025,453,OSBPL7
ENSG00000006042,1814,TMEM98
ENSG00000006047,84,YBX2
ENSG00000006059,0,KRT33A
ENSG00000006062,214,MAP3K14
ENSG00000006071,288,ABCC8
ENSG00000006116,305,CACNG3
ENSG00000006118,14168,TMEM132A
ENSG00000006125,25997,AP2B1
ENSG00000006128,2548,TAC1
ENSG00000006194,1356,ZNF263
