GeneID,Count,GeneName
ENSG00000000003,5194,TSPAN6
ENSG00000000005,57,TNMD
ENSG00000000419,2193,DPM1
ENSG00000000457,246,SCYL3
ENSG00000000460,298,C1orf112
ENSG00000000938,68,FGR
ENSG00000000971,13,CFH
ENSG00000001036,1635,FUCA2
ENSG00000001084,592,GCLC
ENSG00000001167,2102,NFYA
ENSG00000001460,138,STPG1
ENSG00000001461,1048,NIPAL3
ENSG00000001497,2679,LAS1L
ENSG00000001561,870,ENPP4
ENSG00000001617,214,SEMA3F
ENSG00000001626,8,CFTR
ENSG00000001629,2387,ANKIB1
ENSG00000001630,361,CYP51A1
ENSG00000001631,255,KRIT1
ENSG00000002016,286,RAD52
ENSG00000002079,14,MYH16
ENSG00000002330,348,BAD
ENSG00000002549,1873,LAP3
ENSG00000002586,6779,CD99
ENSG00000002587,52,HS3ST1
ENSG00000002726,10,AOC1
ENSG00000002745,2,WNT16
ENSG00000002746,365,HECW1
ENSG00000002822,4,MAD1L1
ENSG00000002834,6511,LASP1
ENSG00000002919,739,SNX11
ENSG00000002933,4,TMEM176A
ENSG00000003056,4849,M6PR
ENSG00000003096,1278,KLHL13
ENSG00000003137,4620,CYP26B1
ENSG00000003147,230,ICA1
ENSG00000003249,672,DBNDD1
ENSG00000003393,2620,ALS2
ENSG00000003400,16,CASP10
ENSG00000003402,323,CFLAR
ENSG00000003436,242,TFPI
ENSG00000003509,386,NDUFAF7
ENSG00000003756,2515,RBM5
ENSG00000003987,335,MTMR7
ENSG00000003989,663,SLC7A2
ENSG00000004059,2799,ARF5
ENSG00000004139,929,SARM1
ENSG00000004142,2717,POLDIP2
ENSG00000004399,524,PLXND1
ENSG00000004455,3160,AK2
ENSG00000004468,18,CD38
ENSG00000004478,3235,FKBP4
ENSG00000004487,10735,KDM1A
ENSG00000004534,4105,RBM6
ENSG00000004660,343,CAMKK1
ENSG00000004700,1173,RECQL
ENSG00000004766,1041,VPS50
ENSG00000004776,13,HSPB6
ENSG00000004777,2186,ARHGAP33
ENSG00000004779,1399,NDUFAB1
ENSG00000004799,123,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,23,ZMYND10
ENSG00000004846,10,ABCB5
ENSG00000004848,100,ARX
ENSG00000004864,1408,SLC25A13
ENSG00000004866,1014,ST7
ENSG00000004897,2765,CDC27
ENSG00000004939,77,SLC4A1
ENSG00000004948,2,CALCR
ENSG00000004961,753,HCCS
ENSG00000004975,2607,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,5868,UPF1
ENSG00000005020,310,SKAP2
ENSG00000005022,4091,SLC25A5
ENSG00000005059,383,MCUB
ENSG00000005073,16,HOXA11
ENSG00000005075,1227,POLR2J
ENSG00000005100,1300,DHX33
ENSG00000005102,14,MEOX1
ENSG00000005108,4398,THSD7A
ENSG00000005156,1869,LIG3
ENSG00000005175,1521,RPAP3
ENSG00000005187,10,ACSM3
ENSG00000005189,417,REXO5
ENSG00000005194,1974,CIAPIN1
ENSG00000005206,1479,SPPL2B
ENSG00000005238,1045,FAM214B
ENSG00000005243,44,COPZ2
ENSG00000005249,2132,PRKAR2B
ENSG00000005302,639,MSL3
ENSG00000005339,5183,CREBBP
ENSG00000005379,358,TSPOAP1
ENSG00000005381,0,MPO
ENSG00000005421,0,PON1
ENSG00000005436,247,GCFC2
ENSG00000005448,1205,WDR54
ENSG00000005469,968,CROT
ENSG00000005471,23,ABCB4
ENSG00000005483,4723,KMT2E
ENSG00000005486,5541,RHBDD2
ENSG00000005513,427,SOX8
ENSG00000005700,2826,IBTK
ENSG00000005801,1570,ZNF195
ENSG00000005810,3216,MYCBP2
ENSG00000005812,870,FBXL3
ENSG00000005844,26,ITGAL
ENSG00000005882,759,PDK2
ENSG00000005884,783,ITGA3
ENSG00000005889,1544,ZFX
ENSG00000005893,14321,LAMP2
ENSG00000005961,48,ITGA2B
ENSG00000005981,46,ASB4
ENSG00000006007,2653,GDE1
ENSG00000006015,640,REX1BD
ENSG00000006016,20,CRLF1
ENSG00000006025,263,OSBPL7
ENSG00000006042,3791,TMEM98
ENSG00000006047,52,YBX2
ENSG00000006059,0,KRT33A
ENSG00000006062,217,MAP3K14
ENSG00000006071,161,ABCC8
ENSG00000006116,68,CACNG3
ENSG00000006118,11207,TMEM132A
ENSG00000006125,22033,AP2B1
ENSG00000006128,615,TAC1
ENSG00000006194,1312,ZNF263
ENSG00000006210,853,CX3CL1
ENSG00000006282,910,SPATA20
ENSG00000006283,428,CACNA1G
ENSG00000006327,713,TNFRSF12A
ENSG00000006377,0,DLX6
