GeneID,Count,GeneName
ENSG00000000003,3716,TSPAN6
ENSG00000000005,787,TNMD
ENSG00000000419,852,DPM1
ENSG00000000457,234,SCYL3
ENSG00000000460,75,C1orf112
ENSG00000000938,65,FGR
ENSG00000000971,0,CFH
ENSG00000001036,565,FUCA2
ENSG00000001084,744,GCLC
ENSG00000001167,1675,NFYA
ENSG00000001460,337,STPG1
ENSG00000001461,1072,NIPAL3
ENSG00000001497,1126,LAS1L
ENSG00000001561,765,ENPP4
ENSG00000001617,994,SEMA3F
ENSG00000001626,5,CFTR
ENSG00000001629,4322,ANKIB1
ENSG00000001630,172,CYP51A1
ENSG00000001631,160,KRIT1
ENSG00000002016,299,RAD52
ENSG00000002079,1,MYH16
ENSG00000002330,510,BAD
ENSG00000002549,852,LAP3
ENSG00000002586,9133,CD99
ENSG00000002587,215,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,4,WNT16
ENSG00000002746,2353,HECW1
ENSG00000002822,6,MAD1L1
ENSG00000002834,10846,LASP1
ENSG00000002919,992,SNX11
ENSG00000002933,0,TMEM176A
ENSG00000003056,1410,M6PR
ENSG00000003096,6742,KLHL13
ENSG00000003137,10759,CYP26B1
ENSG00000003147,506,ICA1
ENSG00000003249,2654,DBNDD1
ENSG00000003393,2200,ALS2
ENSG00000003400,24,CASP10
ENSG00000003402,478,CFLAR
ENSG00000003436,467,TFPI
ENSG00000003509,394,NDUFAF7
ENSG00000003756,1634,RBM5
ENSG00000003987,807,MTMR7
ENSG00000003989,209,SLC7A2
ENSG00000004059,3853,ARF5
ENSG00000004139,845,SARM1
ENSG00000004142,3772,POLDIP2
ENSG00000004399,389,PLXND1
ENSG00000004455,1140,AK2
ENSG00000004468,21,CD38
ENSG00000004478,3787,FKBP4
ENSG00000004487,7122,KDM1A
ENSG00000004534,3675,RBM6
ENSG00000004660,609,CAMKK1
ENSG00000004700,365,RECQL
ENSG00000004766,1108,VPS50
ENSG00000004776,7,HSPB6
ENSG00000004777,9680,ARHGAP33
ENSG00000004779,1558,NDUFAB1
ENSG00000004799,81,PDK4
ENSG00000004809,6,SLC22A16
ENSG00000004838,41,ZMYND10
ENSG00000004846,0,ABCB5
ENSG00000004848,4,ARX
ENSG00000004864,539,SLC25A13
ENSG00000004866,944,ST7
ENSG00000004897,1689,CDC27
ENSG00000004939,74,SLC4A1
ENSG00000004948,87,CALCR
ENSG00000004961,378,HCCS
ENSG00000004975,1311,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,3447,UPF1
ENSG00000005020,331,SKAP2
ENSG00000005022,4305,SLC25A5
ENSG00000005059,62,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,904,POLR2J
ENSG00000005100,902,DHX33
ENSG00000005102,3,MEOX1
ENSG00000005108,4203,THSD7A
ENSG00000005156,1058,LIG3
ENSG00000005175,1221,RPAP3
ENSG00000005187,4,ACSM3
ENSG00000005189,276,REXO5
ENSG00000005194,1570,CIAPIN1
ENSG00000005206,1306,SPPL2B
ENSG00000005238,1225,FAM214B
ENSG00000005243,50,COPZ2
ENSG00000005249,8099,PRKAR2B
ENSG00000005302,911,MSL3
ENSG00000005339,5262,CREBBP
ENSG00000005379,1888,TSPOAP1
ENSG00000005381,6,MPO
ENSG00000005421,0,PON1
ENSG00000005436,208,GCFC2
ENSG00000005448,565,WDR54
ENSG00000005469,611,CROT
ENSG00000005471,18,ABCB4
ENSG00000005483,8163,KMT2E
ENSG00000005486,6110,RHBDD2
ENSG00000005513,807,SOX8
ENSG00000005700,3211,IBTK
ENSG00000005801,1497,ZNF195
ENSG00000005810,6804,MYCBP2
ENSG00000005812,887,FBXL3
ENSG00000005844,49,ITGAL
ENSG00000005882,732,PDK2
ENSG00000005884,1111,ITGA3
ENSG00000005889,612,ZFX
ENSG00000005893,8342,LAMP2
ENSG00000005961,57,ITGA2B
ENSG00000005981,0,ASB4
ENSG00000006007,2318,GDE1
ENSG00000006015,947,REX1BD
ENSG00000006016,11,CRLF1
ENSG00000006025,419,OSBPL7
ENSG00000006042,1857,TMEM98
ENSG00000006047,195,YBX2
ENSG00000006059,0,KRT33A
ENSG00000006062,178,MAP3K14
ENSG00000006071,304,ABCC8
ENSG00000006116,210,CACNG3
ENSG00000006118,12759,TMEM132A
ENSG00000006125,32547,AP2B1
ENSG00000006128,1701,TAC1
ENSG00000006194,1185,ZNF263
ENSG00000006210,2198,CX3CL1
ENSG00000006282,490,SPATA20
ENSG00000006283,1571,CACNA1G
ENSG00000006327,296,TNFRSF12A
ENSG00000006377,2,DLX6
ENSG00000006432,3330,MAP3K9
ENSG00000006451,4002,RALA
ENSG00000006453,90,BAIAP2L1
ENSG00000006459,453,KDM7A
ENSG00000006468,2056,ETV1
ENSG00000006530,1366,AGK
ENSG00000006534,281,ALDH3B1
ENSG00000006555,0,TTC22
ENSG00000006576,1110,PHTF2
ENSG00000006606,0,CCL26
ENSG00000006607,672,FARP2
ENSG00000006611,4,USH1C
ENSG00000006625,298,GGCT
ENSG00000006634,167,DBF4
ENSG00000006638,6,TBXA2R
ENSG00000006652,435,IFRD1
ENSG00000006659,0,LGALS14
ENSG00000006695,681,COX10
ENSG00000006704,1391,GTF2IRD1
ENSG00000006712,2362,PAF1
ENSG00000006715,4305,VPS41
ENSG00000006740,627,ARHGAP44
ENSG00000006744,1686,ELAC2
ENSG00000006747,14,SCIN
ENSG00000006756,270,ARSD
ENSG00000006757,105,PNPLA4
ENSG00000006788,0,MYH13
ENSG00000006831,2342,ADIPOR2
ENSG00000006837,72,CDKL3
ENSG00000007001,13,UPP2
ENSG00000007038,0,PRSS21
ENSG00000007047,8429,MARK4
ENSG00000007062,263,PROM1
ENSG00000007080,5447,CCDC124
ENSG00000007129,231,CEACAM21
ENSG00000007168,12970,PAFAH1B1
ENSG00000007171,33,NOS2
ENSG00000007174,182,DNAH9
ENSG00000007202,2648,KIAA0100
ENSG00000007216,2,SLC13A2
ENSG00000007237,2754,GAS7
ENSG00000007255,483,TRAPPC6A
ENSG00000007264,740,MATK
ENSG00000007306,0,CEACAM7
ENSG00000007312,6,CD79B
ENSG00000007314,0,SCN4A
ENSG00000007341,462,ST7L
ENSG00000007350,537,TKTL1
ENSG00000007372,764,PAX6
ENSG00000007376,655,RPUSD1
ENSG00000007384,223,RHBDF1
ENSG00000007392,1505,LUC7L
ENSG00000007402,5167,CACNA2D2
ENSG00000007516,1369,BAIAP3
ENSG00000007520,1203,TSR3
ENSG00000007541,1190,PIGQ
ENSG00000007545,731,CRAMP1
ENSG00000007866,305,TEAD3
ENSG00000007908,0,SELE
ENSG00000007923,1248,DNAJC11
ENSG00000007933,0,FMO3
ENSG00000007944,179,MYLIP
ENSG00000007952,11,NOX1
ENSG00000007968,81,E2F2
ENSG00000008018,2586,PSMB1
ENSG00000008056,3226,SYN1
ENSG00000008083,2518,JARID2
ENSG00000008086,1712,CDKL5
ENSG00000008118,222,CAMK1G
ENSG00000008128,18,CDK11A
ENSG00000008130,1607,NADK
ENSG00000008196,10483,TFAP2B
ENSG00000008197,8,TFAP2D
ENSG00000008226,2,DLEC1
ENSG00000008256,1344,CYTH3
ENSG00000008277,2281,ADAM22
ENSG00000008282,1385,SYPL1
ENSG00000008283,1104,CYB561
ENSG00000008294,10233,SPAG9
ENSG00000008300,4482,CELSR3
ENSG00000008311,752,AASS
ENSG00000008323,7,PLEKHG6
ENSG00000008324,563,SS18L2
ENSG00000008382,379,MPND
ENSG00000008394,2217,MGST1
ENSG00000008405,1360,CRY1
ENSG00000008438,1,PGLYRP1
ENSG00000008441,1581,NFIX
ENSG00000008513,925,ST3GAL1
ENSG00000008516,57,MMP25
ENSG00000008517,51,IL32
ENSG00000008710,2524,PKD1
ENSG00000008735,8181,MAPK8IP2
ENSG00000008838,5047,MED24
ENSG00000008853,1911,RHOBTB2
ENSG00000008869,1818,HEATR5B
ENSG00000008952,12452,SEC62
ENSG00000008988,21485,RPS20
ENSG00000009307,42155,CSDE1
ENSG00000009335,2034,UBE3C
ENSG00000009413,6761,REV3L
ENSG00000009694,4024,TENM1
ENSG00000009709,3522,PAX7
ENSG00000009724,94,MASP2
ENSG00000009765,0,IYD
ENSG00000009780,261,FAM76A
ENSG00000009790,8,TRAF3IP3
ENSG00000009830,967,POMT2
ENSG00000009844,5273,VTA1
ENSG00000009950,117,MLXIPL
ENSG00000009954,5504,BAZ1B
ENSG00000010017,2286,RANBP9
ENSG00000010030,8,ETV7
ENSG00000010072,391,SPRTN
ENSG00000010165,1130,METTL13
ENSG00000010219,195,DYRK4
ENSG00000010244,2457,ZNF207
ENSG00000010256,5087,UQCRC1
ENSG00000010270,4533,STARD3NL
ENSG00000010278,538,CD9
ENSG00000010282,0,HHATL
ENSG00000010292,1189,NCAPD2
ENSG00000010295,411,IFFO1
ENSG00000010310,16,GIPR
ENSG00000010318,163,PHF7
ENSG00000010319,10,SEMA3G
ENSG00000010322,9556,NISCH
ENSG00000010327,4,STAB1
ENSG00000010361,542,FUZ
ENSG00000010379,10,SLC6A13
ENSG00000010404,1341,IDS
ENSG00000010438,11,PRSS3
ENSG00000010539,290,ZNF200
ENSG00000010610,19,CD4
ENSG00000010626,595,LRRC23
ENSG00000010671,16,BTK
ENSG00000010704,6,HFE
ENSG00000010803,1719,SCMH1
ENSG00000010810,9837,FYN
ENSG00000010818,3087,HIVEP2
ENSG00000010932,0,FMO1
ENSG00000011007,2008,ELOA
ENSG00000011009,2376,LYPLA2
ENSG00000011021,2986,CLCN6
ENSG00000011028,1973,MRC2
ENSG00000011052,0,NME1-NME2
ENSG00000011083,149,SLC6A7
ENSG00000011105,1497,TSPAN9
ENSG00000011114,661,BTBD7
ENSG00000011132,205,APBA3
ENSG00000011143,358,MKS1
ENSG00000011198,1599,ABHD5
ENSG00000011201,4591,ANOS1
ENSG00000011243,2366,AKAP8L
ENSG00000011258,1177,MBTD1
ENSG00000011260,1008,UTP18
ENSG00000011275,2192,RNF216
ENSG00000011295,3288,TTC19
ENSG00000011304,2335,PTBP1
ENSG00000011332,3982,DPF1
ENSG00000011347,5039,SYT7
ENSG00000011376,2584,LARS2
ENSG00000011405,1748,PIK3C2A
ENSG00000011422,53,PLAUR
ENSG00000011426,283,ANLN
ENSG00000011451,7056,WIZ
ENSG00000011454,5460,RABGAP1
ENSG00000011465,4,DCN
ENSG00000011478,331,QPCTL
