GeneID,Count,GeneName
ENSG00000000003,2563,TSPAN6
ENSG00000000005,156,TNMD
ENSG00000000419,762,DPM1
ENSG00000000457,200,SCYL3
ENSG00000000460,81,C1orf112
ENSG00000000938,14,FGR
ENSG00000000971,0,CFH
ENSG00000001036,850,FUCA2
ENSG00000001084,367,GCLC
ENSG00000001167,1295,NFYA
ENSG00000001460,311,STPG1
ENSG00000001461,1138,NIPAL3
ENSG00000001497,884,LAS1L
ENSG00000001561,749,ENPP4
ENSG00000001617,740,SEMA3F
ENSG00000001626,1,CFTR
ENSG00000001629,2407,ANKIB1
ENSG00000001630,172,CYP51A1
ENSG00000001631,127,KRIT1
ENSG00000002016,232,RAD52
ENSG00000002079,2,MYH16
ENSG00000002330,449,BAD
ENSG00000002549,704,LAP3
ENSG00000002586,4939,CD99
ENSG00000002587,171,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,0,WNT16
ENSG00000002746,1079,HECW1
ENSG00000002822,11,MAD1L1
ENSG00000002834,5677,LASP1
ENSG00000002919,551,SNX11
ENSG00000002933,50,TMEM176A
ENSG00000003056,1555,M6PR
ENSG00000003096,1941,KLHL13
ENSG00000003137,13816,CYP26B1
ENSG00000003147,252,ICA1
ENSG00000003249,1049,DBNDD1
ENSG00000003393,1370,ALS2
ENSG00000003400,4,CASP10
ENSG00000003402,595,CFLAR
ENSG00000003436,627,TFPI
ENSG00000003509,264,NDUFAF7
ENSG00000003756,1602,RBM5
ENSG00000003987,537,MTMR7
ENSG00000003989,91,SLC7A2
ENSG00000004059,2409,ARF5
ENSG00000004139,517,SARM1
ENSG00000004142,1896,POLDIP2
ENSG00000004399,315,PLXND1
ENSG00000004455,1219,AK2
ENSG00000004468,22,CD38
ENSG00000004478,2797,FKBP4
ENSG00000004487,4646,KDM1A
ENSG00000004534,2330,RBM6
ENSG00000004660,257,CAMKK1
ENSG00000004700,297,RECQL
ENSG00000004766,1115,VPS50
ENSG00000004776,1,HSPB6
ENSG00000004777,4207,ARHGAP33
ENSG00000004779,1211,NDUFAB1
ENSG00000004799,16,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,27,ZMYND10
ENSG00000004846,0,ABCB5
ENSG00000004848,13,ARX
ENSG00000004864,639,SLC25A13
ENSG00000004866,1052,ST7
ENSG00000004897,1486,CDC27
ENSG00000004939,30,SLC4A1
ENSG00000004948,162,CALCR
ENSG00000004961,367,HCCS
ENSG00000004975,893,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,2763,UPF1
ENSG00000005020,298,SKAP2
ENSG00000005022,2297,SLC25A5
ENSG00000005059,210,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,689,POLR2J
ENSG00000005100,670,DHX33
ENSG00000005102,8,MEOX1
ENSG00000005108,3764,THSD7A
ENSG00000005156,681,LIG3
ENSG00000005175,966,RPAP3
ENSG00000005187,0,ACSM3
ENSG00000005189,139,REXO5
ENSG00000005194,1145,CIAPIN1
ENSG00000005206,1280,SPPL2B
ENSG00000005238,861,FAM214B
ENSG00000005243,47,COPZ2
ENSG00000005249,4401,PRKAR2B
ENSG00000005302,726,MSL3
ENSG00000005339,3692,CREBBP
ENSG00000005379,1173,TSPOAP1
ENSG00000005381,12,MPO
ENSG00000005421,0,PON1
ENSG00000005436,180,GCFC2
ENSG00000005448,619,WDR54
ENSG00000005469,343,CROT
ENSG00000005471,43,ABCB4
ENSG00000005483,4350,KMT2E
ENSG00000005486,7370,RHBDD2
ENSG00000005513,375,SOX8
ENSG00000005700,1818,IBTK
ENSG00000005801,978,ZNF195
ENSG00000005810,4319,MYCBP2
ENSG00000005812,644,FBXL3
ENSG00000005844,23,ITGAL
ENSG00000005882,300,PDK2
ENSG00000005884,1533,ITGA3
ENSG00000005889,936,ZFX
ENSG00000005893,6296,LAMP2
ENSG00000005961,21,ITGA2B
ENSG00000005981,2,ASB4
ENSG00000006007,1925,GDE1
ENSG00000006015,561,REX1BD
ENSG00000006016,52,CRLF1
ENSG00000006025,277,OSBPL7
ENSG00000006042,1721,TMEM98
ENSG00000006047,105,YBX2
ENSG00000006059,0,KRT33A
ENSG00000006062,142,MAP3K14
ENSG00000006071,411,ABCC8
ENSG00000006116,370,CACNG3
ENSG00000006118,13404,TMEM132A
ENSG00000006125,19160,AP2B1
ENSG00000006128,2359,TAC1
ENSG00000006194,807,ZNF263
ENSG00000006210,2561,CX3CL1
ENSG00000006282,235,SPATA20
ENSG00000006283,853,CACNA1G
ENSG00000006327,203,TNFRSF12A
ENSG00000006377,0,DLX6
ENSG00000006432,1971,MAP3K9
ENSG00000006451,2333,RALA
ENSG00000006453,46,BAIAP2L1
ENSG00000006459,528,KDM7A
ENSG00000006468,1123,ETV1
ENSG00000006530,950,AGK
ENSG00000006534,33,ALDH3B1
ENSG00000006555,0,TTC22
ENSG00000006576,948,PHTF2
ENSG00000006606,0,CCL26
ENSG00000006607,784,FARP2
ENSG00000006611,0,USH1C
ENSG00000006625,293,GGCT
ENSG00000006634,256,DBF4
ENSG00000006638,2,TBXA2R
ENSG00000006652,251,IFRD1
ENSG00000006659,0,LGALS14
ENSG00000006695,527,COX10
ENSG00000006704,686,GTF2IRD1
ENSG00000006712,1901,PAF1
ENSG00000006715,2892,VPS41
ENSG00000006740,630,ARHGAP44
ENSG00000006744,1466,ELAC2
ENSG00000006747,0,SCIN
ENSG00000006756,820,ARSD
ENSG00000006757,141,PNPLA4
ENSG00000006788,0,MYH13
ENSG00000006831,2284,ADIPOR2
ENSG00000006837,27,CDKL3
ENSG00000007001,4,UPP2
ENSG00000007038,0,PRSS21
ENSG00000007047,2960,MARK4
ENSG00000007062,475,PROM1
ENSG00000007080,3276,CCDC124
ENSG00000007129,153,CEACAM21
ENSG00000007168,7611,PAFAH1B1
ENSG00000007171,38,NOS2
ENSG00000007174,104,DNAH9
ENSG00000007202,2044,KIAA0100
ENSG00000007216,0,SLC13A2
ENSG00000007237,1528,GAS7
ENSG00000007255,243,TRAPPC6A
ENSG00000007264,317,MATK
ENSG00000007306,0,CEACAM7
ENSG00000007312,0,CD79B
ENSG00000007314,0,SCN4A
ENSG00000007341,405,ST7L
ENSG00000007350,478,TKTL1
ENSG00000007372,979,PAX6
ENSG00000007376,423,RPUSD1
ENSG00000007384,145,RHBDF1
ENSG00000007392,1156,LUC7L
ENSG00000007402,5308,CACNA2D2
ENSG00000007516,1449,BAIAP3
ENSG00000007520,636,TSR3
ENSG00000007541,863,PIGQ
ENSG00000007545,562,CRAMP1
ENSG00000007866,126,TEAD3
ENSG00000007908,0,SELE
ENSG00000007923,1032,DNAJC11
ENSG00000007933,0,FMO3
ENSG00000007944,201,MYLIP
ENSG00000007952,23,NOX1
ENSG00000007968,85,E2F2
ENSG00000008018,1833,PSMB1
ENSG00000008056,1608,SYN1
ENSG00000008083,1857,JARID2
ENSG00000008086,1287,CDKL5
ENSG00000008118,130,CAMK1G
ENSG00000008128,18,CDK11A
ENSG00000008130,969,NADK
ENSG00000008196,7635,TFAP2B
ENSG00000008197,0,TFAP2D
ENSG00000008226,4,DLEC1
ENSG00000008256,1068,CYTH3
ENSG00000008277,3399,ADAM22
ENSG00000008282,1112,SYPL1
ENSG00000008283,3406,CYB561
ENSG00000008294,6653,SPAG9
ENSG00000008300,4292,CELSR3
ENSG00000008311,860,AASS
ENSG00000008323,6,PLEKHG6
ENSG00000008324,342,SS18L2
ENSG00000008382,366,MPND
ENSG00000008394,1643,MGST1
ENSG00000008405,639,CRY1
ENSG00000008438,4,PGLYRP1
ENSG00000008441,1438,NFIX
ENSG00000008513,593,ST3GAL1
ENSG00000008516,34,MMP25
ENSG00000008517,34,IL32
ENSG00000008710,1446,PKD1
ENSG00000008735,6903,MAPK8IP2
ENSG00000008838,3342,MED24
ENSG00000008853,1734,RHOBTB2
ENSG00000008869,1545,HEATR5B
ENSG00000008952,10794,SEC62
ENSG00000008988,14355,RPS20
ENSG00000009307,19383,CSDE1
ENSG00000009335,1480,UBE3C
ENSG00000009413,3783,REV3L
ENSG00000009694,4840,TENM1
ENSG00000009709,1814,PAX7
ENSG00000009724,37,MASP2
ENSG00000009765,4,IYD
ENSG00000009780,239,FAM76A
ENSG00000009790,15,TRAF3IP3
ENSG00000009830,1358,POMT2
ENSG00000009844,2860,VTA1
ENSG00000009950,48,MLXIPL
ENSG00000009954,4985,BAZ1B
ENSG00000010017,1624,RANBP9
ENSG00000010030,2,ETV7
ENSG00000010072,282,SPRTN
ENSG00000010165,829,METTL13
ENSG00000010219,209,DYRK4
ENSG00000010244,2137,ZNF207
ENSG00000010256,3995,UQCRC1
ENSG00000010270,3382,STARD3NL
ENSG00000010278,1432,CD9
ENSG00000010282,0,HHATL
ENSG00000010292,1112,NCAPD2
ENSG00000010295,306,IFFO1
ENSG00000010310,3,GIPR
ENSG00000010318,90,PHF7
